,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,NONE,RING,LENS,IRREGULAR,OTHER,DUST_LANE,OVERLAPPING
0,511867,216.38846,-1.11396,0.3522291202812785,54590001152.0,0.054999999701976776,0.5098333681676899,0.13441151751191277,0.3522291202812785,0.0,0.002463878823844515,0.0,0.001062115215274394
1,485873,217.75015,-1.8004200000000001,0.3494560281571705,49080000512.0,0.05389999970793724,0.0,0.007094539577138689,0.34945602815717053,0.007094539577138689,0.21276766868226354,0.19627761647754766,0.22730960752874083
2,164479,177.6572,-2.81587,0.3567989615758573,11840000000.0,0.09929999709129332,0.35679896157585733,0.24637523919497148,0.35679896157585733,0.0,0.04002683765331379,0.0,0.0
3,165259,180.44234,-2.82167,0.3357701143600097,10099999744.0,0.10180000215768814,0.6525058698729228,0.0,0.33577011436000975,0.011724015767067478,0.0,0.0,0.0
4,70022,178.02218,0.07392,0.3681086687142511,80459997184.0,0.05990000069141387,0.4033823946809149,0.0,0.3681086687142511,0.0,0.18405433435712554,0.0,0.04445460224770837
5,171055,176.8102,-2.2989,0.3076546618324779,3707000064.0,0.13140000402927401,0.373373848997804,0.15382733091623896,0.3076546618324779,0.15382733091623896,0.0,0.0,0.011316827337240222
6,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787,0.6472886088264144,0.016615397729003698,0.336095993444582,0.0,0.0,0.0,0.0
7,184275,175.91698,-1.44119,0.31726155455251825,44110000128.0,0.12370000034570695,0.47548697783902366,0.018394873865178817,0.31726155455251825,0.0,0.0,0.1826687557922045,0.006187837951074716
8,84050,175.79849,0.47813999999999995,0.3657584981836216,54710001664.0,0.11900000274181365,0.281374023243115,0.1373292767758791,0.3657584981836216,0.0,0.0029134857634765033,0.07529543925802852,0.1373292767758791
9,7104,175.71213,0.8322799999999999,0.3333333333333333,17679998976.0,0.07509999722242355,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
10,136581,175.67082,-1.66467,0.3887603172999368,4702000128.0,0.08529999852180481,0.2781413166315702,0.1564997884975446,0.38876031729993676,0.08304999390599514,0.02191710073576458,0.07163148292918878,0.0
11,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524,0.2938636759746426,0.0,0.36015843752091425,0.0,0.12499708539534082,0.11441050259487198,0.10657029851423044
12,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,0.0,0.07845892338487782,0.3140544819767729,0.12831299236513552,0.20107450048927353,0.03981286682091185,0.23828623496302834
13,560204,179.65787,-0.48421000000000003,0.3801848922936733,8501000192.0,0.0843999981880188,0.23658392872760495,0.1437064716974554,0.38018489229367325,0.0,0.16240501164171095,0.07711969563955551,0.0
14,70282,179.40308000000002,0.12562,0.6553523393711983,42560000000.0,0.10740000009536743,0.34464766062880164,0.0,0.6553523393711983,0.0,0.0,0.0,0.0
15,144068,178.83194,-1.4089399999999999,0.33041071403012295,23759998976.0,0.1446000039577484,0.339178571939754,0.0,0.330410714030123,0.0,0.0,0.0,0.330410714030123
16,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,0.11619763033265532,0.25502256273883317,0.30298456848615074,0.0,0.22043105912436534,0.038778525972278044,0.0665856533457174
17,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858,0.24353741568526655,0.0,0.42619047744921645,0.060884353921316636,0.14761904510156693,0.0,0.12176870784263327
18,289994,184.23553,1.85313,0.3326065927802746,18480001024.0,0.11379999667406082,0.3347868144394507,0.0,0.3326065927802746,0.0,0.3326065927802746,0.0,0.0
19,32675,185.70776999999998,-1.1103,0.5271650742338682,12160000000.0,0.1459999978542328,0.09504896709871978,0.11760625400966625,0.5271650742338682,0.23762241774679943,0.0,0.022557286910946488,0.0
20,491505,212.1493,-1.5112700000000001,0.4296963224628938,1643000064.0,0.07609999924898148,0.20528037803738328,0.04074530654887412,0.4296963224628938,0.0,0.00015843507653274472,0.0,0.32411955787431596
21,543556,211.99696,-0.9925200000000001,0.5697293031713155,4737999872.0,0.08709999918937683,0.2403609291049125,0.18990976772377186,0.5697293031713155,0.0,0.0,0.0,0.0
22,106562,216.62566,0.84498,0.3638761719314727,89850003456.0,0.12680000066757202,0.6055204580600492,0.029251101886853894,0.36387617193147265,0.0,0.0,0.0013522681216241983,0.0
23,593852,218.0782,-0.039580000000000004,0.386318244376966,225100005376.0,0.13079999387264252,0.3605889978155681,0.00374008897824925,0.386318244376966,0.0,0.10865914113210359,0.0020076241243234326,0.1386859035727895
24,593691,217.50766000000002,-0.12318,0.34843844772447624,23129999360.0,0.10809999704360962,0.17657855614273643,0.26252095726872565,0.34843844772447624,0.08750698575624188,0.12495505310781982,0.0,0.0
25,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684,0.43325333972589264,0.008990469135450489,0.35501297622726263,0.0,0.1872325999419405,0.015510614969453804,0.0
26,460645,213.23176,-1.7209999999999999,0.3070760437523829,35490000896.0,0.11919999867677687,0.36441021108728516,0.1085761271710676,0.3070760437523829,0.0,0.0027853636471290165,0.1085761271710676,0.1085761271710676
27,93803,222.48917000000003,0.55835,0.4777194655103866,88940003328.0,0.0397999994456768,0.5177028290630034,0.004577705426610046,0.47771946551038663,0.0,0.0,0.0,0.0
28,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606,0.424860942674438,0.0,0.575139057325562,0.0,0.0,0.0,0.0
