,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,Unnamed: 0_y,incomplete_data,maybe_lens,no_clear_lens
0,376338.0,2660.0,132.98734,1.50468,30.0,303399993344.0,0.3271999955177307,125.0,0.0,1.0,0.0
1,197972.0,2007.0,137.85838,-0.7528,24.0,355100000256.0,0.33730000257492065,97.0,0.0,1.0,0.0
2,371400.0,2275.0,131.20438000000001,1.00064,18.0,202099998720.0,0.2948000133037567,122.0,0.0,1.0,0.0
3,204703.0,887.0,139.07321000000002,-0.40157,18.0,274200002560.0,0.3179999887943268,101.0,0.0,1.0,0.0
4,345423.0,1938.0,129.35904,1.9442700000000002,42.0,379200012288.0,0.39579999446868896,120.0,0.0,1.0,0.0
5,561459.0,2187.0,183.60019,-0.53509,42.0,226399993856.0,0.24789999425411224,143.0,0.0,1.0,0.0
6,584826.0,817.0,180.41615,-0.20731,32.0,217700007936.0,0.2494000047445297,148.0,0.0,1.0,0.0
7,98583.0,2369.0,178.83655,0.8845700000000001,30.0,154500005888.0,0.28279998898506165,164.0,0.0,1.0,0.0
8,583457.0,3357.0,174.8049,-0.00257,28.0,98730000384.0,0.2635999917984009,147.0,0.0,1.0,0.0
9,231281.0,1822.0,183.06471000000002,1.91352,28.0,376099995648.0,0.4004000127315521,104.0,0.0,1.0,0.0
10,145278.0,1551.0,183.83234,-1.41031,24.0,215899996160.0,0.19830000400543213,93.0,0.0,1.0,0.0
11,561967.0,1252.0,185.57948000000002,-0.56586,22.0,336700014592.0,0.4584000110626221,144.0,0.0,1.0,0.0
12,585328.0,3234.0,182.36838,-0.00889,18.0,134699999232.0,0.20469999313354487,149.0,0.0,1.0,0.0
13,136604.0,1642.0,175.87355,-1.74164,58.0,286600003584.0,0.10599999874830246,89.0,0.0,1.0,0.0
14,49576.0,704.0,221.51453999999998,-0.6712899999999999,58.0,371599998976.0,0.28760001063346863,137.0,0.0,1.0,0.0
15,15790.0,1258.0,216.7776,0.7208,42.0,120400003072.0,0.295199990272522,94.0,0.0,1.0,0.0
16,569270.0,1690.0,218.5273,-0.4848,26.0,173900005376.0,0.3384000062942505,146.0,0.0,1.0,0.0
17,107432.0,987.0,219.88698,0.8993899999999999,20.0,429900005376.0,0.3127000033855438,88.0,0.0,1.0,0.0
18,92918.0,2098.0,217.90807,0.4978,18.0,403299991552.0,0.4061999917030335,161.0,0.0,1.0,0.0
19,92606.0,416.0,216.96487000000002,0.48495,18.0,445200007168.0,0.3819000124931336,160.0,0.0,1.0,0.0
20,250289.0,2730.0,214.36708,1.99311,28.0,189400006656.0,0.4009000062942505,106.0,0.0,1.0,0.0
