,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,SFR
0,511865,216.31907,-1.13127,0.3159736549968519,20660000768.0,0.08449999988079071,5.920999801567461e-11
1,505441,219.86678,-1.91433,0.3006199153968005,173300006912.0,0.13349999487400055,7.99100022264021e-12
2,164479,177.6572,-2.81587,0.3567989615758573,11840000000.0,0.09929999709129332,1.286000056444081e-10
3,165259,180.44234,-2.82167,0.3357701143600097,10099999744.0,0.10180000215768814,5.606000039182213e-11
4,171055,176.8102,-2.2989,0.3076546618324779,3707000064.0,0.131400004029274,2.0640000819582838e-09
5,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787,4.764000066832808e-13
6,84050,175.79849,0.47814,0.3657584981836216,54710001664.0,0.11900000274181365,1.6470000276797014e-12
7,271537,174.59803,1.35433,0.30673445910173675,58219999232.0,0.11169999837875366,2.7420000298095104e-11
8,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524,3.794000114076823e-10
9,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,6.506000165690251e-13
10,560204,179.65787,-0.48421,0.3801848922936733,8501000192.0,0.0843999981880188,2.0189999672126646e-10
11,144068,178.83194,-1.40894,0.3304107140301229,23759998976.0,0.1446000039577484,3.0620000979197926e-10
12,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,1.320000012072775e-11
13,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858,2.4440000804398787e-12
14,32675,185.70777,-1.1103,0.5271650742338682,12160000000.0,0.1459999978542328,5.453000273547559e-10
15,491505,212.1493,-1.51127,0.4296963224628938,1643000064.0,0.07609999924898148,2.617999983467456e-10
16,543556,211.99696,-0.99252,0.5697293031713155,4737999872.0,0.08709999918937683,2.9309998872406595e-10
17,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684,3.152999847430733e-14
18,460645,213.23176,-1.721,0.3070760437523829,35490000896.0,0.11919999867677687,1.8070000357139904e-11
19,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606,8.524999689464227e-14
20,49252,220.38711,-0.71215,0.3162465575023383,77520003072.0,0.14749999344348907,1.0569999736587121e-12
21,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246,2.4479999190946122e-12
22,371601,132.01727,1.03236,0.31987644638725343,6238000128.0,0.06069999933242797,1.2270000293579386e-10
23,600679,136.8274,0.25166,0.4192855509147133,3732999936.0,0.10100000351667404,7.777000154973734e-10
24,324764,137.20387,1.72633,0.4227567639279565,46470000640.0,0.10440000146627426,1.4600000028397453e-11
25,218733,140.29763,0.88594,0.419585537810421,97730002944.0,0.14149999618530273,2.8220000121426114e-12
26,320551,218.67851,1.7833599999999998,0.5296417151914627,13029999616.0,0.0778999999165535,5.033999883607976e-10
27,342699,216.90174,2.1325,0.4570880393017274,28450000896.0,0.08760000020265579,3.29500003670713e-11
28,363319,218.85395,2.56676,0.4575320404435686,33429999616.0,0.09849999845027924,4.66199995274863e-11
29,522103,132.47988,2.89815,0.33803604254326697,58909999104.0,0.06030000001192092,1.9710000298545083e-10
30,418788,137.69141000000002,2.74717,0.3430625755391247,55779999744.0,0.1436000019311905,8.935999856740651e-11
31,202397,129.44791999999998,-0.24408,0.3472897784548457,589400000.0,0.05220000073313713,1.3449999447523453e-10
32,422113,129.41517,2.59516,0.4995803715872445,20199999488.0,0.1202000007033348,2.6860000768708092e-12
33,422228,129.93613,2.59097,0.3021404022221289,28369999872.0,0.11150000244379044,5.711999883500907e-12
34,573840,130.33075,-0.20663,0.3152147323080724,15160000512.0,0.13539999723434448,8.978000287651611e-11
35,372045,133.97321000000002,0.9832,0.37830414114878375,24569999360.0,0.11940000206232072,9.26300052286888e-13
36,197611,136.03367,-0.72014,0.3193540104753855,10119999488.0,0.11630000174045566,2.5450000440407905e-10
37,3632594,138.25246,-0.95549,0.3266706654847568,85730000896.0,0.13619999587535858,1.3179999626411476e-12
38,3578853,130.98196000000002,-1.62032,0.3194613381522037,65370001408.0,0.12210000306367876,2.875999959017772e-11
