Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-035.9393-04.4005,35.9393,-4.4005,DEV,20.12,18.53,17.62,1,0.3037,BOSS
DESI-036.0184-04.4084,36.0184,-4.4084,DEV,21.71,20.19,19.39,1,,
DESI-036.0256-06.4796,36.0256,-6.4796,DEV,21.58,20.29,19.47,0.986,,
DESI-036.0536-06.1645,36.0536,-6.1645,DEV,20.81,19.19,18.34,0.979,,
DESI-036.0653-05.8029,36.0653,-5.8029,DEV,22.9,21.55,19.62,0.998,,
DESI-036.0879+00.0726,36.0879,0.0726,COMP,19.59,18.29,17.52,0.959,,
DESI-036.1151-05.2254,36.1151,-5.2254,DEV,22.06,21,19.61,0.998,0.9028,eBOSS
DESI-036.1457-05.4990,36.1457,-5.499,DEV,21.98,20.87,19.5,0.991,,
DESI-036.2194-04.3486,36.2194,-4.3486,DEV,22.68,21.65,19.95,1,,
DESI-036.2244-06.3029,36.2244,-6.3029,DEV,22.39,20.74,19.54,0.956,,
DESI-036.2714-06.8192,36.2714,-6.8192,DEV,19.62,18.92,18.38,0.983,,
DESI-036.3530-04.6792,36.353,-4.6792,DEV,19.01,17.48,16.67,1,0.2643,BOSS
DESI-036.3795-04.2093,36.3795,-4.2093,DEV,22.97,21.32,19.65,1,0.7726,eBOSS
DESI-036.4031-04.2550,36.4031,-4.255,DEV,22.08,20.32,19.05,1,0.5557,BOSS
DESI-036.4081-05.2473,36.4081,-5.2473,DEV,20.63,19.04,18.17,0.999,,
DESI-036.4268-05.1548,36.4268,-5.1548,DEV,19.8,18.63,17.94,1,,
DESI-036.4827-16.8621,36.4827,-16.8621,DEV,19.41,17.99,17.14,0.984,,
DESI-036.6282-04.6316,36.6282,-4.6316,DEV,22.26,20.51,19.22,1,0.5906,BOSS
DESI-036.6556-03.7101,36.6556,-3.7101,DEV,22.13,20.56,19.43,0.999,,
DESI-036.6760-03.6801,36.676,-3.6801,DEV,20.33,19.05,18.21,1,,
DESI-036.6777-03.6555,36.6777,-3.6555,COMP,21.8,20.4,19.82,1,,
DESI-036.6819-03.6905,36.6819,-3.6905,DEV,21.02,19.39,18.53,1,0.3284,eBOSS
DESI-036.7198+00.2833,36.7198,0.2833,DEV,19.91,18.32,17.33,0.996,0.3022,SDSS
DESI-036.7325-05.1276,36.7325,-5.1276,DEV,21.73,19.87,18.76,1,0.4361,BOSS
DESI-036.8076-05.0255,36.8076,-5.0255,DEV,22.14,20.88,19.9,0.999,,
DESI-036.8133-03.9033,36.8133,-3.9033,COMP,19.64,18.88,18.15,0.999,,
DESI-036.9560-06.1539,36.956,-6.1539,DEV,21.46,19.67,18.69,0.932,0.4324,BOSS
DESI-037.0345-04.5015,37.0345,-4.5015,DEV,22.2,20.5,19.45,1,,
DESI-037.1686-04.0027,37.1686,-4.0027,DEV,20.09,18.75,18.01,1,,
DESI-037.2011-04.1161,37.2011,-4.1161,DEV,20.17,19.28,18.67,0.993,0.1406,BOSS
DESI-037.2064-01.2158,37.2064,-1.2158,DEV,21.05,19.64,18.34,0.984,0.6895,BOSS
DESI-037.2945+03.7522,37.2945,3.7522,DEV,24.56,22.05,19.98,0.945,,
DESI-037.4766+03.1089,37.4766,3.1089,DEV,22.26,20.84,19.46,0.985,,
DESI-038.2709-10.4498,38.2709,-10.4498,DEV,22.03,20.38,19.19,0.957,,
DESI-038.8461-10.5125,38.8461,-10.5125,DEV,20.76,19.29,18.51,0.964,,
DESI-039.0463-06.3428,39.0463,-6.3428,DEV,22.71,21,19.42,0.973,,
DESI-039.2003+03.3583,39.2003,3.3583,DEV,20.93,19.31,18.25,0.984,0.4673,BOSS
DESI-039.9261-01.4632,39.9261,-1.4632,DEV,19.68,18.51,17.68,0.957,,
DESI-040.6372-12.1891,40.6372,-12.1891,DEV,19.92,17.98,17,0.999,,
DESI-040.6769-00.6487,40.6769,-0.6487,DEV,23.64,21.84,19.95,0.968,,
DESI-040.7046+02.2423,40.7046,2.2423,DEV,19.69,18.72,18.07,0.942,,
DESI-040.8745-01.9373,40.8745,-1.9373,DEV,23.1,21.18,19.68,1,,
DESI-041.3678-01.2016,41.3678,-1.2016,DEV,21.65,20.27,18.97,1,0.6669,BOSS
DESI-041.4318-08.6492,41.4318,-8.6492,COMP,21.44,20.05,18.64,0.999,0.7261,BOSS
DESI-041.5548-00.7524,41.5548,-0.7524,COMP,22.47,21.24,19.8,0.997,,
DESI-041.7915-08.4225,41.7915,-8.4225,DEV,21.39,19.5,18.31,0.957,0.5221,BOSS
DESI-041.9910-00.7425,41.991,-0.7425,DEV,21.7,20.45,19.68,0.999,,
DESI-042.2156-00.5329,42.2156,-0.5329,DEV,19.33,18.02,17.22,0.995,0.2547,BOSS
DESI-042.9152-00.5600,42.9152,-0.56,DEV,22.07,20.1,18.7,1,0.5846,BOSS
DESI-046.6993-15.0593,46.6993,-15.0593,DEV,22.53,20.97,19.64,0.985,,
DESI-047.3321-13.5368,47.3321,-13.5368,DEV,22.19,20.49,19.21,0.998,,
DESI-060.4389-14.7568,60.4389,-14.7568,DEV,20.04,18.57,17.77,0.986,,
DESI-060.6860-15.7303,60.686,-15.7303,COMP,19.67,18.89,18.3,0.976,,
DESI-061.0991-14.3883,61.0991,-14.3883,COMP,22.79,21.03,18.97,0.954,,
DESI-064.4878-03.6133,64.4878,-3.6133,DEV,19.04,17.83,17.07,0.997,,
DESI-125.6392-00.4650,125.6392,-0.465,DEV,21.11,19.2,17.94,0.951,0.5253,BOSS
DESI-131.8556+14.2550,131.8556,14.255,COMP,19.98,18.67,17.89,0.841,,
DESI-138.6664-00.0821,138.6664,-0.0821,22.79,21.03,19.69,0.953,,,
