,Mean,Median,Min,Max,Std
GAMA Stellar Mass,56781231101.82378,36425000960.0,3403.0,3608000069632.0,69010613134.54599
GAMA Redshift,0.2144889063995664,0.19679999351501465,0.001000000047497451,4.607900142669678,0.11738255822949976
SLACS Mass,245434209309.7129,226479439566.80536,26915348039.269142,616595001861.481,124305070025.73262
SLACS Redshift,0.20412941176470592,0.189,0.063,0.513,0.09014377249642905
GalaxyZoo Stellar Mass,21930375792.794422,9662000128.0,152600.0,1104000057344.0,34626191925.36555
GalaxyZoo Redshift,0.10073492196446247,0.10760000348091124,0.00279999990016222,0.1526000052690506,0.035006034300938134
