,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z
0,543438,211.53734,-1.03689,0.21303448008193995,8979999744.0,0.07010000199079514
1,491933,213.94101,-1.42622,0.23618742325629974,34410000384.0,0.1080000028014183
2,463601,213.79297,-1.24519,0.22162587407651252,80250003456.0,0.14810000360012054
3,492121,214.80569,-1.4032,0.23768787749616968,28110000128.0,0.10220000147819519
4,511867,216.38846,-1.11396,0.3522291202812785,54590001152.0,0.054999999701976776
5,511865,216.31907,-1.13127,0.3159736549968519,20660000768.0,0.08449999988079071
6,485529,216.24766,-1.86855,0.24617784308816199,898600000.0,0.03020000085234642
7,485866,217.55467,-1.72059,0.20270690271027067,4080000000.0,0.05480000004172325
8,485873,217.75015,-1.80042,0.34945602815717053,49080000512.0,0.05389999970793724
9,508674,217.8561,-1.47254,0.21437128039409828,25600000000.0,0.09149999916553497
10,509080,219.66128,-1.56507,0.2656125477568647,8408999936.0,0.05719999969005585
11,505441,219.86678,-1.91433,0.30061991539680055,173300006912.0,0.13349999487400055
12,493172,219.82751,-1.3069,0.252347549315637,50739998720.0,0.13840000331401825
13,486863,221.91649,-1.74942,0.2477474443817528,41870000128.0,0.07670000195503235
14,164479,177.6572,-2.81587,0.35679896157585733,11840000000.0,0.09929999709129333
15,165259,180.44234,-2.82167,0.33577011436000975,10099999744.0,0.10180000215768814
16,165871,183.70237,-2.78805,0.28270118900935587,88500002816.0,0.10890000313520432
17,70022,178.02218,0.07392,0.3681086687142511,80459997184.0,0.05990000069141388
18,609835,177.4441,0.24979,0.2,14060000256.0,0.06920000165700912
19,609783,177.2406,0.37904,0.2240796148284461,20149999616.0,0.10459999740123749
20,177538,177.06532,-2.03739,0.2495592626402623,12090000384.0,0.10329999774694443
21,171055,176.8102,-2.2989,0.3076546618324779,3707000064.0,0.131400004029274
22,164155,176.59381,-2.76333,0.2483270951687767,4140000000.0,0.07100000232458115
23,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787
24,123523,176.38876,-2.53055,0.2350512342927711,78099996672.0,0.1281999945640564
25,123473,176.28669,-2.6764,0.2096584609696754,50739998720.0,0.10700000077486038
26,170838,176.2738,-2.47029,0.2,52269998080.0,0.10660000145435333
27,136870,176.26903,-1.66142,0.21588623231342458,13680000000.0,0.0843999981880188
28,271793,176.23579,1.26029,0.2154339610512572,20529999872.0,0.10320000350475311
29,136853,176.21456,-1.80852,0.2631744499114724,51760001024.0,0.10610000044107437
30,184275,175.91698,-1.44119,0.31726155455251825,44110000128.0,0.12370000034570694
31,84050,175.79849,0.47814,0.3657584981836216,54710001664.0,0.11900000274181366
32,7104,175.71213,0.83228,0.3333333333333333,17679998976.0,0.07509999722242355
33,136581,175.67082,-1.66467,0.38876031729993676,4702000128.0,0.08529999852180481
34,184232,175.64718,-1.4871,0.2,86859997184.0,0.1080000028014183
35,136551,175.48195,-1.81532,0.21496219496252555,48040001536.0,0.10700000077486038
36,53845,175.35518,-0.31265,0.20014087239153772,28610000896.0,0.12449999898672104
37,271629,175.2932,1.37485,0.25432741974616907,93799997440.0,0.13590000569820404
38,396838,175.26995,1.58933,0.25,12890000384.0,0.07609999924898148
39,97879,174.99204,0.85037,0.22727520752947364,5763999744.0,0.12080000340938568
40,271592,174.93535,1.33453,0.22951001604202395,58630000640.0,0.07599999755620956
41,170465,174.68882,-2.28517,0.202905612555741,22950000640.0,0.10599999874830246
42,271537,174.59803,1.35433,0.30673445910173675,58219999232.0,0.11169999837875366
43,609246,174.55754,0.3526,0.2441264398933349,138000007168.0,0.09719999879598618
44,136308,174.4957,-1.69487,0.2,36520001536.0,0.07880000025033951
45,129782,174.4002,-2.08169,0.2887238310639856,26869999616.0,0.10159999877214432
46,21834,174.32707,1.05827,0.2097174537951909,62350000128.0,0.14800000190734863
47,6826,174.18486,0.7089,0.2564351243268097,5397000192.0,0.07280000299215317
48,85480,182.70923,0.47085,0.20342110434584532,15580000256.0,0.07829999923706055
49,273061,181.91166,1.3306,0.20332740089557355,11050000384.0,0.07649999856948853
50,272965,181.52112,1.2877,0.2,1463000064.0,0.048700001090765
51,272820,180.96503,1.29504,0.23578737879433798,72979996672.0,0.08320000022649765
52,8132,180.7274,0.83164,0.27760985876058647,12760000512.0,0.09489999711513519
53,23180,180.58548,1.19842,0.26527538680462015,79040004096.0,0.08179999887943268
54,85027,180.58892,0.61914,0.2390159257737852,73659998208.0,0.1096000000834465
55,288844,180.28944,1.83295,0.2479174628564341,29730000896.0,0.07810000330209732
56,230528,180.28327,1.98659,0.2184876623863157,84069998592.0,0.12610000371932983
57,272433,179.42583,1.25987,0.208290749330893,46919999488.0,0.131400004029274
58,272188,178.21889,1.25243,0.2598818013112408,24480000000.0,0.09430000185966492
59,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524
60,70913,182.11881,0.16352,0.23010566827729645,954099968.0,0.03539999946951866
61,70847,181.78315,0.15647,0.20429078518958363,72360001536.0,0.1128000020980835
62,585217,181.68205,-0.03098,0.28318012264499415,22379999232.0,0.11580000072717667
63,55245,181.07958,-0.31553,0.3140544819767729,127400001536.0,0.09359999746084213
64,40334,180.65499,-0.70472,0.24028753171500175,8192000000.0,0.09880000352859497
65,40237,180.27047,-0.78234,0.20195108588540764,70300000256.0,0.14069999754428864
66,54923,180.01164,-0.40575,0.22846390265663696,24629999616.0,0.07989999651908875
67,560204,179.65787,-0.48421,0.38018489229367325,8501000192.0,0.0843999981880188
68,535868,179.55946,-0.97831,0.2289078487204455,42630000640.0,0.12150000035762787
69,610283,179.54021,0.26613,0.24835241519457718,12960000000.0,0.10679999738931656
70,535810,179.44008,-0.90981,0.2390884774064337,31389999104.0,0.12999999523162842
71,70282,179.40308,0.12562,0.6553523393711983,42560000000.0,0.10740000009536743
72,535696,178.98112,-1.03123,0.2,6860000256.0,0.13099999725818634
73,144068,178.83194,-1.40894,0.330410714030123,23759998976.0,0.1446000039577484
74,535587,178.67285,-1.0248,0.20319759891753786,28970000384.0,0.13410000503063202
75,172283,182.1144,-2.34203,0.20196982869512142,15059999744.0,0.0625
76,131415,181.23342,-2.20006,0.21084524489950576,32070000640.0,0.09600000083446503
77,124798,181.05455,-2.64271,0.22711288509034444,43460001792.0,0.08900000154972076
78,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.10790000110864639
79,171754,179.80204,-2.442,0.2056070158404211,25610000384.0,0.10289999842643738
80,124486,179.72998,-2.51919,0.42619047744921645,85409996800.0,0.14350000023841858
81,130971,179.58577,-2.16315,0.25,114100002816.0,0.08229999989271164
82,171642,179.28766,-2.32283,0.24913018922766325,50040000512.0,0.08070000261068344
83,171610,179.17647,-2.30215,0.21785903097636097,135800000.0,0.021400000900030136
84,137557,178.59895,-1.7346,0.20276267260699307,143900000256.0,0.1071000024676323
85,184873,178.38607,-1.60449,0.23494548971545134,59309998080.0,0.13740000128746033
86,99849,184.52782,1.00541,0.22736921906214488,22720000000.0,0.125
87,289994,184.23553,1.85313,0.3326065927802746,18480001024.0,0.11379999667406082
88,289955,184.02336,1.71408,0.2,973600000.0,0.08229999989271164
89,8825,183.98357,0.67079,0.21903827362393488,4248000000.0,0.07900000363588333
90,273411,183.52722,1.29982,0.22382163996807525,15029999616.0,0.09809999912977219
91,32675,185.70777,-1.1103,0.5271650742338682,12160000000.0,0.1459999978542328
92,586566,185.4513,-0.00764,0.244277044985952,5615000064.0,0.10920000076293945
93,32451,184.95965,-1.21324,0.25614436831065346,36800000000.0,0.13689999282360077
94,40907,183.54262,-0.64287,0.20803233881254812,42180001792.0,0.12120000272989273
95,145576,185.24293,-1.41709,0.27546501910173155,5959000064.0,0.09380000084638596
96,186538,185.04149,-1.62171,0.20855728389610215,65999998976.0,0.06909999996423721
97,179353,184.36376,-1.92032,0.29775866791824174,10229999616.0,0.08789999783039093
98,543770,212.81776,-0.95984,0.2354488844283042,38359998464.0,0.08720000088214874
99,36915,212.50763,-1.10756,0.23918385132639514,7445000192.0,0.05420000106096268
100,491505,212.1493,-1.51127,0.4296963224628938,1643000064.0,0.07609999924898148
101,543556,211.99696,-0.99252,0.5697293031713155,4737999872.0,0.08709999918937683
102,62209,211.7971,-0.3776,0.20039482787652418,71350001664.0,0.07970000058412552
103,543489,211.79616,-0.87872,0.2323668752273661,80499998720.0,0.05310000106692314
104,105409,211.61987,0.86996,0.2003108271406768,85290000384.0,0.11299999803304672
105,92769,217.53566,0.55735,0.22233148917800596,59629998080.0,0.12999999523162842
106,106562,216.62566,0.84498,0.36387617193147265,89850003456.0,0.12680000066757202
107,238924,215.66313,1.68966,0.20413622499341105,48179998720.0,0.10260000079870224
108,297271,215.26347,1.52357,0.2334990985556295,49139998720.0,0.0843999981880188
109,593852,218.0782,-0.03958,0.386318244376966,225100005376.0,0.13079999387264252
110,64041,217.95936,-0.22099,0.21307426967286572,49509998592.0,0.08810000121593475
