,Unnamed: 0,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,Z
48,48,183.15171,1.9701799999999998,0.19,0.218,PG+ELG,231307,38320001024.0,0.18960000574588776
49,49,185.33296,1.9225599999999998,0.423,0.46,PG+ELG,231746,,
50,50,185.65375,1.33724,0.217,0.415,PG+ELG,273903,,
51,51,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278,,
52,52,174.23017,1.8973200000000001,0.138,0.204,PG+ELG,402278,,
53,53,180.41128999999998,-0.48253999999999997,0.165,0.5429999999999999,PG+ELG,560475,,
54,54,181.98808,-0.52788,0.22399999999999998,0.682,PG+ELG,560853,,
55,55,175.01863,-0.14991,0.314,0.747,PG+ELG,583469,143799992320.0,0.31439998745918274
56,56,184.62887,-0.18264,0.456,0.307,PG+ELG,586392,,
57,57,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648,,
58,58,178.25696000000005,0.30019,0.365,0.391,PG+ELG,610029,,
59,59,179.39604,-1.13984,0.263,0.348,PG+ELG,690020,40090001408.0,0.262800008058548
60,60,181.52958,1.9349599999999998,0.223,0.297,PG+ELG,814991,,
61,61,213.6345,0.74998,0.273,0.528,PG+ELG,14983,103499997184.0,0.2727999985218048
62,62,214.61879,0.62943,0.23199999999999998,0.27899999999999997,PG+ELG,15221,81439997952.0,0.23160000145435333
63,63,215.97478999999998,0.67592,0.142,0.22699999999999998,PG+ELG,15554,18350000128.0,0.1421000063419342
64,64,218.90542000000002,-0.7438899999999999,0.34299999999999997,0.245,PG+ELG,48883,31950000128.0,0.3425999879837036
65,65,222.49875,-0.40713,0.253,0.649,PG+ELG,65298,90939998208.0,0.25270000100135803
66,66,215.20808,0.17706,0.316,0.62,PG+ELG,77892,61110001664.0,0.3158999979496002
67,67,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,0.15970000624656677
68,68,215.06082999999998,1.6042299999999998,0.19,0.243,PG+ELG,238715,61440000000.0,0.18979999423027039
69,69,217.45604,1.52598,0.284,0.379,PG+ELG,239367,105500000256.0,0.2840999960899353
70,70,214.17046000000002,2.07386,0.5529999999999999,0.386,PG+ELG,250209,124899999744.0,0.553600013256073
71,71,214.82401000000002,2.12522,0.304,0.26899999999999996,PG+ELG,250487,130100002816.0,0.2689000070095062
72,72,218.22696000000002,1.9778200000000001,0.439,0.466,PG+ELG,251342,165499994112.0,0.4392000138759613
73,73,222.14057999999997,1.1650399999999999,0.319,0.374,PG+ELG,298899,86270001152.0,0.3190999925136566
74,74,214.14233,1.86348,0.266,0.28600000000000003,PG+ELG,319348,43619999744.0,0.26589998602867126
