,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,SFR
0,3899011.0,2251.0,131.33397,-0.91563,64.0,329399992320.0,0.4027000069618225,1.1800000213058048e-11
1,376338.0,2660.0,132.98734,1.50468,30.0,303399993344.0,0.3271999955177307,8.491999963465557e-13
2,663364.0,2669.0,140.35284,-0.97414,28.0,268800000000.0,0.3221000134944916,4.933000188889203e-12
3,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,212900003840.0,0.4059000015258789,1.024999963378237e-11
4,3575500.0,1906.0,129.23265,-1.57512,26.0,320900005888.0,0.36520001292228704,1.5900000500251865e-12
5,197972.0,2007.0,137.85838,-0.7528,24.0,355100000256.0,0.33730000257492065,8.108999582923104e-12
6,3883690.0,2756.0,134.57492,-1.55142,22.0,136200003584.0,0.2480999976396561,3.729000181557085e-12
7,3911769.0,1704.0,138.66089,-1.11639,20.0,173999996928.0,0.2793999910354614,2.001999954703848e-11
8,371400.0,2275.0,131.20438,1.00064,18.0,202099998720.0,0.2948000133037567,5.77000010271167e-11
9,204703.0,887.0,139.07321000000002,-0.40157,18.0,274200002560.0,0.3179999887943268,1.2559999698277813e-12
10,279505.0,654.0,137.68558000000002,1.05648,18.0,129800003584.0,0.2263000011444092,2.705000069422314e-12
11,386188.0,1677.0,130.0474,2.10251,18.0,241499996160.0,0.3598000109195709,3.564000136679901e-11
12,3599660.0,635.0,129.29506,-0.99631,18.0,194599993344.0,0.3813999891281128,2.3320000444582156e-11
13,3882191.0,2558.0,133.69397,-1.36032,54.0,393299984384.0,0.3555999994277954,2.0789999496256817e-12
14,345423.0,1938.0,129.35904,1.94427,42.0,379200012288.0,0.39579999446868896,5.264999894394329e-11
15,231282.0,2058.0,183.07338,1.88558,58.0,343099998208.0,0.3813999891281128,1.6150000173992263e-12
16,561459.0,2187.0,183.60019,-0.53509,42.0,226399993856.0,0.24789999425411224,5.227999890639046e-12
17,165409.0,3098.0,181.19672,-2.7200900000000003,38.0,26410000384.0,0.019600000232458115,2.556000029685368e-11
18,173045.0,534.0,185.64714,-2.42117,36.0,82070003712.0,0.2556000053882599,1.8000000795437288e-11
19,584826.0,817.0,180.41615,-0.20731,32.0,217700007936.0,0.2494000047445297,1.5779999919598997e-12
20,98583.0,2369.0,178.83655,0.8845700000000001,30.0,154500005888.0,0.28279998898506165,1.289000048192157e-12
21,583457.0,3357.0,174.8049,-0.00257,28.0,98730000384.0,0.2635999917984009,1.3600000032393256e-12
22,231281.0,1822.0,183.06471,1.91352,28.0,376099995648.0,0.4004000127315521,3.4620000009116803e-12
23,124486.0,2553.0,179.73003,-2.51895,28.0,85409996800.0,0.14350000023841858,2.4440000804398787e-12
24,186586.0,1180.0,185.1191,-1.5125,26.0,180999995392.0,0.28189998865127563,4.135000068045125e-12
25,125077.0,2922.0,182.40587,-2.63013,26.0,146000003072.0,0.3416000008583069,2.161000024758497e-11
26,145278.0,1551.0,183.83234,-1.41031,24.0,215899996160.0,0.19830000400543213,2.9809999954610866e-12
27,561967.0,1252.0,185.57948,-0.56586,22.0,336700014592.0,0.4584000110626221,4.693999963029105e-12
28,41064.0,2347.0,184.11784,-0.80592,22.0,157400006656.0,0.34860000014305115,1.9329999406680898e-11
29,165871.0,2803.0,183.70247,-2.78789,18.0,88500002816.0,0.10890000313520433,9.403000079954982e-12
30,585328.0,3234.0,182.36838,-0.00889,18.0,134699999232.0,0.20469999313354487,3.1849998333166596e-11
31,136604.0,1642.0,175.87355,-1.74164,58.0,286600003584.0,0.10599999874830246,2.4479999190946122e-12
32,49576.0,704.0,221.51454,-0.6712899999999999,58.0,371599998976.0,0.28760001063346863,7.2430000365442115e-12
33,15790.0,1258.0,216.7776,0.7208,42.0,120400003072.0,0.295199990272522,6.220000100913559e-13
34,568366.0,2664.0,214.82709,-0.42031,28.0,113499996160.0,0.2651000022888184,4.568999800898255e-13
35,569270.0,1690.0,218.5273,-0.4848,26.0,173900005376.0,0.3384000062942505,3.7249999092214825e-12
36,64911.0,1741.0,220.62912000000003,-0.39809,26.0,213999992832.0,0.3700999915599823,2.05800003774681e-12
37,249703.0,1630.0,212.6116,2.14905,22.0,549399986176.0,0.4672999978065491,3.835000025875779e-12
38,298994.0,2465.0,222.77661,1.19268,22.0,293300011008.0,0.3910000026226044,3.7600001237536596e-12
39,107432.0,987.0,219.88698,0.8993899999999999,20.0,429900005376.0,0.3127000033855438,8.481999824727637e-12
40,92918.0,2098.0,217.90807,0.4978,18.0,403299991552.0,0.4061999917030335,3.650000007099363e-12
41,92606.0,416.0,216.96487,0.48495,18.0,445200007168.0,0.3819000124931336,1.8900000921945326e-12
42,250289.0,2730.0,214.36708,1.99311,28.0,189400006656.0,0.4009000062942505,1.9329999406680898e-11
