,Unnamed: 0,GAMA_ID,RA,DEC,STELLAR_MASS,Z,NONE,RING,LENS,IRREGULAR,OTHER,DUST_LANE,OVERLAPPING
0,0,84050,175.79849,0.47813999999999995,54710001664.0,0.11900000274181365,0.281374023243115,0.1373292767758791,0.3657584981836216,0.0,0.0029134857634765033,0.07529543925802852,0.1373292767758791
1,1,40666,182.46693,-0.78528,10389999616.0,0.10670000314712524,0.2938636759746426,0.0,0.36015843752091425,0.0,0.12499708539534082,0.11441050259487195,0.10657029851423044
2,2,560204,179.65787,-0.48421000000000003,8501000192.0,0.0843999981880188,0.2365839287276049,0.1437064716974554,0.3801848922936733,0.0,0.16240501164171095,0.07711969563955551,0.0
3,3,144068,178.83194,-1.4089399999999999,23759998976.0,0.1446000039577484,0.339178571939754,0.0,0.3304107140301229,0.0,0.0,0.0,0.3304107140301229
4,4,185451,180.28326,-1.61006,82219999232.0,0.1079000011086464,0.11619763033265533,0.2550225627388332,0.30298456848615074,0.0,0.22043105912436534,0.03877852597227805,0.0665856533457174
5,5,32675,185.70776999999998,-1.1103,12160000000.0,0.1459999978542328,0.09504896709871978,0.11760625400966625,0.5271650742338682,0.23762241774679946,0.0,0.022557286910946488,0.0
6,6,491505,212.1493,-1.5112700000000001,1643000064.0,0.07609999924898148,0.20528037803738328,0.04074530654887412,0.4296963224628938,0.0,0.00015843507653274472,0.0,0.32411955787431607
7,7,460645,213.23176,-1.7209999999999999,35490000896.0,0.11919999867677687,0.3644102110872852,0.1085761271710676,0.3070760437523829,0.0,0.0027853636471290165,0.1085761271710676,0.1085761271710676
8,8,93310,219.92276,0.50731,30940000256.0,0.13770000636577606,0.424860942674438,0.0,0.575139057325562,0.0,0.0,0.0,0.0
9,9,136604,175.87349,-1.74167,286600003584.0,0.10599999874830246,0.0719559986969696,0.0,0.31645069407057624,0.08755810430027411,0.2239951977414648,0.0262096957612102,0.27383030942950515
10,10,371601,132.01727,1.03236,6238000128.0,0.06069999933242797,0.30441345067988784,0.261554094184075,0.31987644638725343,0.048767485202764964,0.06538852354601875,0.0,0.0
11,11,418788,137.69141000000002,2.74717,55779999744.0,0.1436000019311905,0.20601126121415075,0.22220078277593192,0.3430625755391247,0.0,0.16003780894586506,0.06868757152492765,0.0
12,12,422113,129.41517,2.59516,20199999488.0,0.1202000007033348,0.06579967205446267,0.1004811287630643,0.4995803715872445,0.0,0.0,0.33413882759522856,0.0
13,13,197611,136.03367,-0.72014,10119999488.0,0.11630000174045566,0.35276883272693543,0.049749967053993184,0.3193540104753855,0.09949993410798637,0.12887728858170638,0.049749967053993184,0.0
14,14,70376,179.62517,0.05585,15630000128.0,0.13079999387264252,0.5255347630078425,0.0,0.3136042546750227,0.15680212733751134,0.0,0.0,0.0040588549796234715
15,15,40957,183.73733000000001,-0.69189,2211000064.0,0.1243000030517578,0.12208451331070358,0.03713928539334205,0.3342535685400784,0.11141785618002613,0.13470622395059198,0.07470212565854772,0.18569642696671024
16,16,272460,179.4985,1.4293200000000001,4664000000.0,0.13349999487400055,0.6166495385167382,0.0,0.3286690785813425,0.0,0.054681382901919234,0.0,0.0
17,17,299118,223.34617000000003,1.1418700000000002,12910000128.0,0.1459999978542328,0.00019238704876748376,0.0,0.5596147363753493,0.10521881352566376,0.27879565564910924,0.0,0.056178407401110214
19,19,570151,222.24417000000003,-0.54052,4784999936.0,0.1396999955177307,0.5543200357456425,0.03992219996589946,0.3708727501207729,0.025403466212532047,0.0,0.009481547955153,0.0
20,20,594681,221.11007999999998,-0.058679999999999996,4088000000.0,0.1460999995470047,0.3326818826204162,0.0,0.41181676491276376,0.08236335298255275,0.03193175518338225,0.05884289131833221,0.08236335298255275
