,GAMA_ID,RA,DEC,LENS_SCORE
0,491457,211.73487,-1.59471,0.0
1,460298,211.51452,-1.65754,0.0
2,460345,211.78462,-1.71899,0.0
3,484623,211.63878,-1.93563,0.0
4,484637,211.79006,-1.89456,0.16977783523205772
5,491454,211.71473,-1.54075,0.0
6,491414,211.50587,-1.53749,0.0
7,484621,211.63321,-1.96885,0.06112748750869517
8,463119,211.54913,-1.22789,0.0
9,463148,211.68703,-1.33978,0.143398365483332
10,491442,211.62693,-1.40044,0.0
11,463146,211.64489,-1.2198,0.0
12,543438,211.53734,-1.03689,0.21303448008193995
13,463145,211.63664,-1.23923,0.0007553974679913282
14,460382,211.97433,-1.79661,0.0
15,460396,212.07843,-1.78691,0.0
16,460374,212.03548,-1.7023,0.024226495840740395
17,460348,211.84969,-1.74179,0.0
18,484655,211.88866,-1.97102,0.0036986546341687527
19,460379,211.94664,-1.71637,0.11085506969050792
20,460375,211.91947,-1.72949,0.0
21,463176,211.81052,-1.19533,0.04579831845001617
22,463197,212.00002,-1.29196,0.09313932448669686
23,491460,211.69443,-1.47829,0.046993377425808204
24,463230,212.18364,-1.28863,0.0
25,491508,212.1611,-1.46875,0.0
26,496943,212.18039,-1.16161,0.045351163652810896
27,463178,211.84027,-1.35181,0.0
28,463196,211.95664,-1.28564,0.009676247382230978
29,463223,212.08134,-1.19515,0.045168141149304765
30,460380,211.95851,-1.65315,0.0
31,491441,211.6263,-1.59569,0.11376691427083074
32,460321,211.70046,-1.64566,0.0
33,460343,211.76857,-1.7331,0.0
34,460378,211.93828,-1.6399,0.0
35,460323,211.72036,-1.73019,0.0
36,484660,211.95245,-1.98741,0.011883743391501686
37,484624,211.64203,-1.93606,0.0
38,484685,212.01245,-1.8639,0.0
39,460349,211.8498,-1.69346,0.0
40,463261,212.2497,-1.35782,0.0
41,463293,212.38516,-1.29259,0.0
42,47348,212.39491,-0.81996,0.0
43,491548,212.39135,-1.42125,0.0
44,491514,212.2353,-1.38686,0.08162557056513357
45,491512,212.23277,-1.47901,0.0
46,463265,212.33605,-1.19192,0.006191102004140576
47,463264,212.33464,-1.26707,0.07414414185184248
48,460399,212.1223,-1.78213,0.0
49,484683,212.06239,-1.98593,0.05204451259710828
50,491506,212.12852,-1.54733,0.0
51,491511,212.21313,-1.52251,0.0346336145863041
52,460424,212.21232,-1.60681,0.08511422681550732
53,491542,212.26865,-1.52189,0.0
54,491509,212.16299,-1.49394,0.08333329973951258
55,484733,212.30233,-1.93099,0.0
56,484690,212.07428,-1.97285,0.0
57,463291,212.49968,-1.28914,0.0355452721700115
58,491654,212.59485,-1.47229,0.0818261913231344
59,463328,212.50863,-1.2322,0.0
60,496966,212.59185,-1.11499,0.0
61,463301,212.48207,-1.3246,0.0
62,463341,212.58892,-1.30012,0.0
63,463285,212.41561,-1.35587,0.10080055949731492
64,491584,212.41528,-1.46649,0.07025784199585708
65,463317,212.42644,-1.25675,0.0
66,491595,212.48097,-1.47463,0.09234163841699189
67,491603,212.49694,-1.47083,0.0
68,463300,212.47271,-1.28934,0.0
69,484741,212.35192,-1.95529,0.0
70,484749,212.40781,-1.80086,0.0
71,460428,212.32924,-1.67452,0.08666355584318669
72,491591,212.46214,-1.51572,0.0
73,484729,212.37016,-1.90643,0.0
74,491587,212.43301,-1.57289,0.0
75,484761,212.37388,-1.99552,0.0
76,484739,212.34656,-1.97468,0.0
77,463402,212.89604,-1.25635,0.1631129741967117
78,463373,212.75493,-1.26181,0.0
79,463428,213.0112,-1.27398,0.0
80,496967,212.70039,-1.14441,0.0007393521575666611
81,463374,212.75694,-1.32125,0.07973621748353331
82,491682,212.76558,-1.45241,0.0
83,463391,212.89678,-1.30537,0.0
84,463367,212.69764,-1.31421,0.0
85,491600,212.49765,-1.5386,0.0
86,491604,212.50018,-1.50724,0.07448018341199746
87,491593,212.46998,-1.49865,0.0
88,460501,212.52162,-1.60394,0.0
89,491651,212.56416,-1.57259,0.0
90,491578,212.52422,-1.58031,0.0
91,484774,212.4843,-1.89843,0.0
92,491609,212.531,-1.51189,0.0
93,491602,212.49858,-1.57002,0.01851804316484756
94,484775,212.50095,-1.97833,0.0
95,484777,212.56383,-1.91478,0.0
96,460452,212.50943,-1.63645,0.0
97,460465,212.48665,-1.67352,0.05620434821521979
98,491686,212.82832,-1.51887,0.13835763939418613
99,491683,212.77065,-1.48428,0.07368397849790101
100,484823,212.75612,-1.99995,0.0
101,460519,212.65396,-1.77106,0.0
102,460574,212.87781,-1.75711,0.0
103,484849,212.96773,-1.85261,0.0
104,460585,212.93581,-1.64631,0.005692905164195507
105,460579,212.91282,-1.61769,0.0
106,460613,213.06841,-1.70592,0.0
107,484847,212.96291,-1.87657,0.0
108,460616,213.08771,-1.63853,0.0
109,463493,213.31143,-1.26149,0.0
110,497008,213.35223,-1.10469,0.09794646232268196
111,491767,213.15839,-1.4397,0.0
112,543812,213.05367,-0.84638,0.0
113,463453,213.16155,-1.34276,0.010509595025971992
114,463488,213.32626,-1.35072,0.0
115,491743,213.12768,-1.40597,0.057756785409500404
116,484938,213.337,-1.8859,0.0003752645011111486
117,484943,213.43938,-1.8817,0.0
118,460673,213.33077,-1.64417,0.0
119,463517,213.4126,-1.31132,0.0
120,463557,213.67859,-1.31035,0.0
121,497016,213.55707,-1.13749,0.0
122,463519,213.45238,-1.23473,0.0
123,463490,213.36226,-1.3324,0.05028600908706442
124,463593,213.72184,-1.33323,0.0
125,463595,213.72866,-1.247,0.0
126,460766,213.79186,-1.73432,0.0
127,460756,213.70929,-1.59708,0.002397374178440622
128,460780,213.81844,-1.72033,0.0
129,485046,213.78632,-1.81109,0.0
130,485047,213.80041,-1.89856,0.0
131,484976,213.54594,-1.8077,0.0
132,457505,213.51664,-1.99526,0.0
133,491887,213.775,-1.55686,0.1231159752777807
134,484974,213.54128,-1.9446,0.0
135,463635,213.9222,-1.18541,0.0
136,497052,213.95732,-1.13611,0.08505062952722404
137,497047,213.92641,-1.1141,0.0
138,463634,213.91349,-1.2303,0.006874793995509342
139,514022,214.04671,-1.26845,0.12070321940616335
140,497036,213.80255,-1.13064,0.0
141,463631,213.887,-1.24383,0.0
142,463632,213.89887,-1.25699,0.0
143,491933,213.94101,-1.42622,0.23618742325629974
144,463643,213.96402,-1.30769,0.0
145,491931,214.0511,-1.46952,0.10197575673869602
146,463601,213.79297,-1.24519,0.22162587407651252
147,463604,213.82759,-1.22717,0.0
148,460835,213.86696,-1.70334,0.0
149,485051,213.89089,-1.81804,0.0
150,511425,214.1323,-1.63425,0.0
151,485053,213.89165,-1.95551,0.0014246918436824334
152,485097,213.9836,-1.97666,0.0
153,485152,214.22172,-1.78112,0.13941354765783473
154,485127,214.20892,-1.87152,0.0
155,507715,214.28275,-1.75922,0.07514923871093315
156,485156,214.28506,-1.78933,0.0
157,511436,214.18711,-1.61367,0.08055028688598427
158,485189,214.36904,-1.89495,0.0
159,511427,214.14482,-1.57542,0.02504123616516665
