,Unnamed: 0,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,max_total_mass,theta_e,Z,max_stellar_mass_salpeter,max_stellar_mass_chabrier,Dz
0,0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082,30250000384.0,165579113924.05066,0.5146810773892407,0.1632000058889389,114249588607.59496,64575854430.37976,0.158
1,1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448,,482006250000.0,,,332584312500.0,187982437500.0,0.32
2,2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140,85779996672.0,379095808383.2334,0.5727918204001,0.2818000018596649,261576107784.43106,147847365269.46106,0.16700000000000004
3,3,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222,14250000384.0,81246315789.4737,0.5042940986881272,0.12770000100135806,56059957894.73685,31686063157.894737,0.475
4,4,132.61013,0.11972000000000001,0.313,0.608,PG+ELG,209295,84560003072.0,322549152542.3729,0.6165422296991775,0.3125999867916107,222558915254.2373,125794169491.52545,0.295
6,6,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956,,-393792000000.0001,,,-271716480000.0001,-153578880000.00006,0.24999999999999994
7,7,135.32929,1.22984,0.48700000000000004,0.247,PG+ELG,301818,121500000256.0,-250602083333.3333,,0.4862000048160553,-172915437499.99994,-97734812500.0,0.24000000000000005
8,8,138.94058,1.33144,0.593,0.40399999999999997,PG+ELG,302719,147399999488.0,-633788359788.3597,,0.5932999849319458,-437313968253.9682,-247177460317.4603,0.189
13,13,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208,4812000256.0,43266077170.418,0.4015756276786849,0.07670000195503235,29853593247.588417,16873770096.463018,0.6220000000000001
15,15,137.90642,1.62916,0.16899999999999998,0.33399999999999996,PG+ELG,377486,,171048484848.48486,,,118023454545.45454,66708909090.9091,0.16499999999999998
18,18,140.6575,2.1373599999999997,0.19399999999999998,0.342,PG+ELG,383284,42750001152.0,224148648648.6486,0.5258698709432156,0.19359999895095825,154662567567.5675,87417972972.97295,0.14800000000000005
19,19,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201,36470001664.0,189140151515.1515,0.5287547861372022,0.16740000247955322,130506704545.45453,73764659090.90909,0.132
20,20,132.51888,2.29438,0.10800000000000001,0.457,PG+ELG,417645,8476000256.0,70710601719.19772,0.4168996210432237,0.10760000348091124,48790315186.24642,27577134670.487114,0.349
23,23,129.41362,-0.01039,0.27399999999999997,0.657,PG+ELG,573657,,235010443864.2297,,,162157206266.31848,91654073107.0496,0.38300000000000006
25,25,140.77658,-0.11463,0.32,0.48100000000000004,PG+ELG,575653,132299997184.0,478012422360.2485,0.6334883203960485,0.3199999928474426,329828571428.5714,186424844720.4969,0.16100000000000003
26,26,140.42683,-1.0920100000000001,0.331,0.22399999999999998,PG+ELG,663372,81979998208.0,-346467289719.62604,,0.3305000066757202,-239062429906.542,-135122242990.65414,0.10700000000000004
27,27,139.63437,-0.60728,0.585,0.757,PG+ELG,905359,268600000512.0,1287340116279.069,0.5500277984426879,0.5827999711036682,888264680232.5576,502062645348.83704,0.17200000000000004
29,29,134.23367,-0.80412,0.736,0.267,PG+ELG,3626956,,-209501066098.08105,,,-144555735607.6759,-81705415778.25162,0.469
30,30,138.10708,-0.95852,0.315,0.444,PG+ELG,3632403,144200007680.0,542093023255.81396,0.6210463576266011,0.3151000142097473,374044186046.5117,211416279069.7675,0.129
32,32,137.37821,-1.17997,0.22699999999999998,0.32799999999999996,PG+ELG,3909630,78360002560.0,368594059405.9406,0.5552024082801145,0.2270999997854233,254329900990.099,143751683168.31686,0.10099999999999998
33,33,176.29228999999995,0.73915,0.529,0.642,PG+ELG,7242,,1502734513274.337,,,1036886814159.2924,586066460176.9915,0.11299999999999999
34,34,176.96358,1.2031,0.094,0.7120000000000001,PG+ELG,22278,,54148867313.91585,,,37362718446.60193,21118058252.42718,0.6180000000000001
