,Unnamed: 0,Unnamed: 0.1,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e,f_dm,theta_e_H0_slide,theta_e_Ang_slide
0,319,319,511867,216.38846,-1.11396,0.3522291202812785,54590001152.0,0.054999999701976776,139974361928.2051,1.5956797596015329,0.5058247034512009,1.4175471853622013,1.416256904035445
1,322,322,511865,216.31907,-1.13127,0.3159736549968519,20660000768.0,0.08449999988079071,52974360943.58975,0.7919674649900773,0.4509669433326079,0.6674832890778309,0.666020517214773
2,487,487,485873,217.75015,-1.80042,0.3494560281571705,49080000512.0,0.05389999970793724,125846155158.97435,1.5283697238771166,0.4998175926161156,1.3495734419486312,1.3483945788841185
3,605,605,505441,219.86678,-1.91433,0.3006199153968005,173300006912.0,0.13349999487400055,444358992082.0513,1.8248584950250608,0.5710438154046248,1.740023165540332,1.7302145744126765
4,896,896,164479,177.6572,-2.81587,0.3567989615758573,11840000000.0,0.09929999709129332,30358974358.97436,0.5530593786774248,0.41953572131029715,0.4533319365663334,0.45194697403158196
5,1106,1106,165259,180.44234,-2.82167,0.3357701143600097,10099999744.0,0.10180000215768814,25897435241.025642,0.5044955222076463,0.41056177716072173,0.4103651504940506,0.40904547130726926
6,1264,1264,70022,178.02218,0.07392,0.3681086687142511,80459997184.0,0.05990000069141387,206307685087.17947,1.85629553870502,0.5277254016946118,1.686872004838464,1.6850446332311324
7,1867,1867,171055,176.8102,-2.2989,0.3076546618324779,3707000064.0,0.131400004029274,9505128369.230768,0.2690197319311953,0.3539729371585749,0.20902155935499642,0.2078814672179671
8,2065,2065,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787,594615395774.359,2.2127521270280734,0.5874890983824745,2.1515297481293434,2.1415545594169605
9,2401,2401,184275,175.91698,-1.44119,0.31726155455251825,44110000128.0,0.12370000034570695,113102564430.76926,0.9564322401036072,0.49378981767502567,0.8395007189048754,0.8354610080263809
10,2485,2485,84050,175.79849,0.47814,0.3657584981836216,54710001664.0,0.11900000274181365,140282055548.71796,1.0860014532122215,0.5059486746382449,0.9648874896885832,0.9606025740091007
11,2524,2524,7104,175.71213,0.8322799999999999,0.3333333333333333,17679998976.0,0.07509999722242355,45333330707.692314,0.7771264404956976,0.442172690618035,0.6497916150299472,0.6486737246232148
12,2539,2539,136581,175.67082,-1.66467,0.3887603172999368,4702000128.0,0.08529999852180481,12056410584.615385,0.3760428492027508,0.36739674275949297,0.29525953144713946,0.2945998261504022
