,GAMA_ID,STELLAR_MASS,LOG_MASS,Z,LENS_SCORE,RA,DEC,,,,,,,,
32,574423,50789998592,10.70578,0.05360,46.434%,135.75994,-0.20038,,,,,,,,
61,586565,7343000064,9.86587,0.10830,35.433%,185.45096,-0.00661,,,,,,,,
24,593691,23129999360,10.36418,0.10810,34.844%,217.50766,-0.12318,,,,,,,,
23,593852,225100005376,11.35238,0.13080,38.632%,218.0782,-0.03958,,,,,,,,
68,594681,4088000000,9.61151,0.14610,41.182%,221.11008,-0.05868,,,,,,,,
31,600421,26210000896,10.41847,0.05650,42.019%,135.49058,0.28417,,,,,,,,
33,600679,3732999936,9.57206,0.10100,41.929%,136.8274,0.25166,,,,,,,,
75,771379,1792999936,9.25358,0.13700,35.802%,219.9235,0.50872,,,,,,,,
50,3578853,65370001408,10.81538,0.12210,31.946%,130.98196,-1.62032,,,,,,,,
52,3593943,21390000128,10.33021,0.13790,54.567%,139.74883,-1.87208,,,,,,,,
53,3599976,3308000000,9.51957,0.11030,30.950%,129.38913,-1.10436,,,,,,,,
54,3610455,12179999744,10.08565,0.12720,33.082%,135.09329,-1.21204,,,,,,,,
49,3632594,85730000896,10.93313,0.13620,32.667%,138.25246,-0.95549,,,,,,,,
51,3909064,4517000192,9.65485,0.07800,42.051%,136.9855,-1.14841,,,,,,,,
