# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_197.0_-0.5,197,-0.5,u,07/03/13 11:55 PM,0.86,0.04,24.25,23.04,3.26E+12,B
KIDS_48.2_-32.1,48.235,-32.148,u,11/28/11 05:22 AM,0.95,0.04,24.08,22.89,3.15E+12,B
KIDS_197.0_-0.5,197,-0.5,r,07/16/15 11:25 PM,0.72,0.04,24.93,23.94,2.98E+13,B
KIDS_339.6_-34.1,339.6,-34.126,u,10/26/13 12:36 AM,0.94,0.04,24.28,23.15,3.49E+12,B
KIDS_218.0_0.5,218,0.5,i,02/25/13 07:01 AM,0.58,0.05,23.43,22.47,1.37E+13,B
KIDS_347.3_-30.2,347.348,-30.17,r,07/20/14 06:40 AM,0.6,0.05,25.01,24.14,3.13E+13,A
KIDS_163.0_0.5,163,0.5,g,02/13/15 05:16 AM,0.99,0.04,24.84,23.65,1.62E+13,B
KIDS_174.5_2.5,174.485,2.478,i,12/29/12 06:30 AM,0.74,0.05,23.37,22.4,1.36E+13,B
KIDS_36.8_-33.1,36.832,-33.137,i,02/22/12 01:18 AM,1.08,0.04,23.82,22.62,1.27E+13,C
KIDS_179.5_-2.5,179.499,-2.478,i,01/25/13 05:27 AM,1.13,0.04,23.56,22.22,1.35E+13,B
KIDS_338.1_-30.2,338.147,-30.17,u,10/22/13 12:09 AM,0.9,0.04,24.24,23.23,3.48E+12,B
KIDS_174.5_2.5,174.485,2.478,u,05/31/13 12:47 AM,0.82,0.04,24.15,23.13,3.21E+12,B
KIDS_48.2_-32.1,48.235,-32.148,g,01/01/14 02:13 AM,0.67,0.04,25.34,24.42,1.79E+13,A
KIDS_50.6_-30.2,50.607,-30.17,i,11/14/11 07:57 AM,0.91,0.05,23.55,22.36,1.34E+13,B
KIDS_338.1_-30.2,338.147,-30.17,r,10/07/13 01:18 AM,0.76,0.05,24.96,23.98,3.20E+13,B
KIDS_173.0_-0.5,173,-0.5,g,02/24/14 06:06 AM,0.8,0.05,24.89,23.92,1.75E+13,B
KIDS_156.0_0.5,156,0.5,i,12/23/12 05:16 AM,0.79,0.05,23.4,22.32,1.11E+13,B
KIDS_150.1_2.2,150.418,2.478,r,12/24/14 07:21 AM,0.55,0.05,25.07,24.28,3.10E+13,B
KIDS_180.5_-2.5,180.501,-2.478,r,02/27/14 06:48 AM,0.82,0.04,24.87,23.81,3.00E+13,B
KIDS_156.0_0.5,156,0.5,g,12/19/14 06:58 AM,0.81,0.06,25.16,24.09,1.68E+13,A
KIDS_173.0_-0.5,173,-0.5,u,04/15/12 02:54 AM,0.96,0.03,24.2,23.16,3.34E+12,B
KIDS_156.0_0.5,156,0.5,u,12/28/14 07:14 AM,1.15,0.04,24.25,22.81,3.29E+12,B
KIDS_156.0_0.5,156,0.5,r,12/25/14 07:34 AM,0.72,0.04,25.05,24.09,2.98E+13,B
KIDS_180.5_-2.5,180.501,-2.478,i,01/26/13 05:15 AM,0.99,0.06,23.49,22.36,1.35E+13,B
KIDS_346.2_-30.2,346.198,-30.17,u,11/25/13 12:35 AM,0.99,0.03,24.12,23.05,3.42E+12,B
KIDS_211.6_-2.5,211.588,-2.478,r,06/20/14 11:50 PM,0.79,0.04,25,23.99,3.09E+13,B
KIDS_346.2_-30.2,346.198,-30.17,g,08/03/14 03:46 AM,0.79,0.05,25.04,24.05,1.62E+13,A
KIDS_237.0_0.5,237,0.5,u,03/09/14 08:50 AM,0.94,0.05,24.21,23.01,3.36E+12,B
KIDS_217.0_-1.5,217,-1.489,u,03/09/14 07:30 AM,1.04,0.04,24.18,22.78,3.37E+12,B
KIDS_51.8_-32.1,51.765,-32.148,g,01/19/15 03:16 AM,1.16,0.04,25.26,23.98,1.61E+13,A
KIDS_339.3_-30.2,339.297,-30.17,i,05/08/12 08:02 AM,0.78,0.05,23.44,22.46,1.29E+13,B
KIDS_237.0_-0.5,237,-0.5,i,03/17/14 08:23 AM,0.62,0.07,23.3,22.38,1.25E+13,B
KIDS_217.0_-1.5,217,-1.489,g,07/19/14 02:03 AM,0.94,0.06,25.13,24.07,1.63E+13,A
KIDS_44.0_-33.1,43.96,-33.137,u,01/21/12 01:29 AM,0.95,0.05,24.27,22.92,3.29E+12,B
KIDS_237.0_0.5,237,0.5,i,02/12/14 08:18 AM,0.9,0.05,24.05,22.95,1.36E+13,B
KIDS_337.4_-33.1,337.426,-33.137,u,07/27/14 05:52 AM,0.98,0.03,24.37,23.24,3.50E+12,C
KIDS_175.0_0.5,175,0.5,g,02/29/12 07:58 AM,0.69,0.05,25.01,23.96,1.62E+13,B
KIDS_138.4_2.5,138.384,2.478,g,03/27/14 12:00 AM,0.76,0.05,24.99,24.02,1.60E+13,B
KIDS_350.4_-34.1,350.4,-34.126,u,10/27/13 01:09 AM,1.08,0.04,24.25,22.95,3.52E+12,B
KIDS_182.5_2.5,182.507,2.478,u,01/28/14 08:36 AM,1.28,0.04,24.26,22.87,3.31E+12,B
KIDS_221.0_0.5,221,0.5,i,02/25/13 07:29 AM,0.54,0.05,23.49,22.68,1.37E+13,B
KIDS_217.0_-0.5,217,-0.5,i,02/25/13 06:05 AM,0.76,0.04,23.31,22.2,1.36E+13,C
KIDS_175.0_0.5,175,0.5,r,04/06/13 03:46 AM,0.72,0.06,24.92,24,3.17E+13,B
KIDS_220.6_-2.5,220.613,-2.478,u,04/07/13 06:45 AM,0.84,0.03,24.17,22.83,3.36E+12,A
KIDS_233.0_-0.5,233,-0.5,i,07/14/14 03:56 AM,0.87,0.05,23.43,22.36,1.32E+13,B
KIDS_158.0_0.5,158,0.5,i,12/25/12 07:07 AM,0.79,0.06,23.97,22.85,1.35E+13,B
KIDS_214.6_2.5,214.596,2.478,g,04/16/15 03:17 AM,0.78,0.07,25,23.97,1.60E+13,C
KIDS_351.8_-32.1,351.765,-32.148,u,10/10/12 03:31 AM,0.87,0.05,24.25,23.15,3.46E+12,B
KIDS_219.0_0.5,219,0.5,r,07/08/12 01:18 AM,0.54,0.05,24.99,24.24,3.01E+13,B
KIDS_358.8_-33.1,358.812,-33.137,i,06/03/12 09:02 AM,0.89,0.04,23.7,22.61,1.28E+13,B
KIDS_219.0_0.5,219,0.5,g,06/06/13 02:59 AM,0.78,0.04,25.2,24.19,1.73E+13,B
KIDS_340.8_-34.1,340.8,-34.126,i,07/02/12 04:08 AM,0.88,0.04,23.2,22.04,1.25E+13,C
KIDS_346.9_-33.1,346.931,-33.137,g,06/10/14 09:40 AM,1.08,0.05,25.15,23.96,1.69E+13,A
KIDS_221.0_0.5,221,0.5,r,05/07/14 05:33 AM,0.52,0.05,24.78,23.93,3.02E+13,B
KIDS_183.5_-2.5,183.51,-2.478,u,03/09/14 06:37 AM,1.02,0.03,24.17,22.88,3.32E+12,B
KIDS_346.9_-33.1,346.931,-33.137,u,09/24/13 01:44 AM,0.94,0.03,24.34,23.35,3.36E+12,B
KIDS_335.5_-31.2,335.534,-31.159,g,05/16/15 08:38 AM,1.01,0.04,25.03,23.84,1.63E+13,A
KIDS_183.5_-2.5,183.51,-2.478,i,01/27/13 05:28 AM,0.92,0.06,23.29,22.22,1.36E+13,B
KIDS_213.0_0.5,213,0.5,g,06/29/14 01:26 AM,1.1,0.04,25.17,23.94,1.70E+13,A
KIDS_346.9_-33.1,346.931,-33.137,r,09/26/13 01:56 AM,0.69,0.04,25.08,24.23,3.19E+13,A
KIDS_357.6_-33.1,357.624,-33.137,u,07/28/14 06:53 AM,0.89,0.03,24.29,23.16,3.36E+12,B
KIDS_216.6_2.5,216.602,2.478,u,03/07/14 07:24 AM,1.01,0.04,24.14,23.01,3.31E+12,B
KIDS_351.8_-32.1,351.765,-32.148,i,06/01/12 07:45 AM,0.62,0.05,23.71,22.85,1.30E+13,B
KIDS_357.7_-31.2,357.67,-31.159,r,09/29/14 02:51 AM,0.71,0.05,25.01,24.13,3.04E+13,B
KIDS_176.5_2.5,176.49,2.478,i,12/27/12 07:25 AM,1.02,0.05,23.27,22.11,9.87E+12,B
KIDS_216.6_2.5,216.602,2.478,i,07/30/12 01:43 AM,0.92,0.05,23.21,22.01,1.28E+13,B
KIDS_357.6_-33.1,357.624,-33.137,i,09/20/11 08:50 AM,1.1,0.06,23.67,22.44,1.32E+13,B
KIDS_178.5_2.5,178.496,2.478,u,01/28/14 07:46 AM,1.01,0.03,24.31,23.12,3.33E+12,B
KIDS_216.6_2.5,216.602,2.478,g,06/29/14 01:54 AM,1.13,0.04,25.21,23.94,1.69E+13,B
KIDS_42.0_-34.1,42,-34.126,r,12/08/13 03:19 AM,0.73,0.05,25.12,24.19,3.20E+13,B
KIDS_213.0_-0.5,213,-0.5,u,04/18/13 06:15 AM,0.76,0.04,24.13,22.89,3.24E+12,B
KIDS_174.0_-0.5,174,-0.5,u,05/17/12 11:49 PM,0.94,0.05,24.18,23.06,3.25E+12,C
KIDS_349.3_-33.1,349.307,-33.137,u,11/27/13 01:17 AM,1.11,0.03,24.12,22.85,3.27E+12,A
KIDS_39.6_-31.2,39.612,-31.159,r,11/19/12 02:00 AM,0.66,0.04,24.93,24.06,2.99E+13,B
KIDS_215.0_-0.5,215,-0.5,u,04/09/14 06:47 AM,0.58,0.04,24.15,22.94,3.30E+12,A
KIDS_19.2_-34.1,19.2,-34.126,u,08/23/15 09:21 AM,0.84,0.04,24.3,23.04,3.37E+12,B
KIDS_236.7_2.5,236.657,2.478,r,07/20/14 01:28 AM,0.56,0.05,25.11,24.27,3.09E+13,A
KIDS_188.0_-0.5,188,-0.5,i,04/28/13 02:53 AM,0.62,0.06,23.79,22.9,1.40E+13,B
KIDS_19.2_-34.1,19.2,-34.126,r,11/16/12 04:10 AM,0.66,0.05,25.05,24.19,2.97E+13,A
KIDS_236.7_2.5,236.657,2.478,g,07/19/15 03:18 AM,0.84,0.06,24.35,23.27,7.76E+12,A
KIDS_135.0_-0.5,135,-0.5,i,06/04/12 11:36 PM,1.05,0.04,23.29,21.98,1.26E+13,A
KIDS_214.0_1.5,214,1.489,u,03/30/14 05:06 AM,1.26,0.05,24.19,23.01,3.28E+12,B
KIDS_49.5_-30.2,49.457,-30.17,g,11/23/14 06:53 AM,1.01,0.04,25.27,24,1.67E+13,B
KIDS_214.0_1.5,214,1.489,g,04/14/15 06:01 AM,0.95,0.05,25.04,23.99,1.61E+13,A
KIDS_48.7_-33.1,48.713,-33.137,r,11/18/12 02:35 AM,0.67,0.04,25.13,24.19,2.93E+13,B
KIDS_182.5_-2.5,182.507,-2.478,g,01/27/15 06:18 AM,0.72,0.05,25.06,24.04,1.60E+13,B
KIDS_207.0_-0.5,207,-0.5,r,07/17/15 12:07 AM,0.65,0.04,25.02,24.11,2.99E+13,B
KIDS_40.0_-32.1,40,-32.148,g,12/19/14 12:47 AM,0.71,0.05,25.34,24.38,1.75E+13,A
KIDS_341.8_-29.2,341.772,-29.181,u,10/23/14 02:05 AM,1.18,0.05,24.1,22.93,3.00E+12,B
KIDS_344.6_-33.1,344.554,-33.137,r,07/12/13 06:01 AM,0.66,0.06,25.12,24.17,3.15E+13,B
KIDS_0.0_-31.2,0,-31.159,r,07/25/12 07:02 AM,0.59,0.05,25.08,24.22,3.05E+13,B
KIDS_52.8_-34.1,52.8,-34.126,i,10/02/12 04:08 AM,0.63,0.05,23.51,22.64,1.30E+13,B
KIDS_329.7_-31.2,329.709,-31.159,r,07/20/14 05:23 AM,0.55,0.05,25.16,24.35,3.14E+13,A
KIDS_35.0_-31.2,34.951,-31.159,u,09/16/15 04:47 AM,1.13,0.03,24.28,23.01,3.28E+12,A
KIDS_345.0_-30.2,345.048,-30.17,u,10/28/13 12:11 AM,1.15,0.04,24.24,23.17,3.47E+12,B
KIDS_342.4_-32.1,342.353,-32.148,r,09/29/14 12:32 AM,0.71,0.05,24.92,23.93,2.99E+13,A
KIDS_341.8_-29.2,341.772,-29.181,g,10/21/14 04:08 AM,0.99,0.04,25.09,23.96,1.70E+13,A
KIDS_51.6_-34.1,51.6,-34.126,r,01/14/13 03:01 AM,0.68,0.04,25.2,24.34,3.21E+13,B
KIDS_344.9_-31.2,344.854,-31.159,r,08/14/13 06:30 AM,0.51,0.06,25.04,24.19,3.13E+13,B
KIDS_221.0_1.5,221,1.489,r,06/21/14 11:59 PM,0.6,0.06,25,24.15,3.10E+13,B
KIDS_35.0_-31.2,34.951,-31.159,r,10/28/13 05:57 AM,0.63,0.05,24.85,23.96,3.07E+13,B
KIDS_349.3_-33.1,349.307,-33.137,g,07/30/14 06:22 AM,0.82,0.05,25.24,24.16,1.73E+13,A
KIDS_344.9_-31.2,344.854,-31.159,u,08/30/13 03:58 AM,1,0.04,24.29,23.33,3.51E+12,B
KIDS_341.8_-29.2,341.772,-29.181,i,08/24/12 01:06 AM,1.16,0.04,23.76,22.49,1.34E+13,B
KIDS_329.7_-31.2,329.709,-31.159,i,05/07/12 07:19 AM,0.61,0.06,23.32,22.48,1.30E+13,B
KIDS_214.0_0.5,214,0.5,u,03/11/14 07:34 AM,1.07,0.04,24.27,23.08,3.36E+12,B
KIDS_357.6_-32.1,357.647,-32.148,g,10/28/13 05:35 AM,0.8,0.06,24.99,23.98,1.60E+13,B
KIDS_165.0_0.5,165,0.5,i,05/28/13 01:45 AM,0.9,0.04,23.67,22.61,1.34E+13,B
KIDS_178.0_0.5,178,0.5,g,02/24/14 07:19 AM,0.76,0.05,24.8,23.78,1.73E+13,A
KIDS_181.5_2.5,181.504,2.478,i,12/30/12 07:25 AM,0.88,0.05,23.57,22.49,1.37E+13,B
KIDS_47.1_-32.1,47.059,-32.148,r,10/01/13 05:22 AM,0.82,0.06,25.17,24.18,3.07E+13,B
KIDS_338.4_-34.1,338.4,-34.126,g,08/13/13 01:59 AM,1.06,0.03,24.66,23.45,1.62E+13,A
KIDS_338.4_-34.1,338.4,-34.126,i,05/07/12 08:24 AM,0.59,0.06,23.34,22.34,1.30E+13,C
KIDS_221.0_-1.5,221,-1.489,r,03/26/14 08:05 AM,0.66,0.05,24.89,24.02,2.99E+13,B
KIDS_349.2_-34.1,349.2,-34.126,u,07/27/14 07:41 AM,0.94,0.04,23.45,22.59,2.39E+12,B
KIDS_181.5_2.5,181.504,2.478,g,02/15/15 08:45 AM,0.74,0.04,24.97,23.92,1.69E+13,A
KIDS_178.0_0.5,178,0.5,i,12/25/12 07:38 AM,0.87,0.05,23.97,22.85,1.35E+13,B
KIDS_214.0_0.5,214,0.5,r,05/13/15 02:21 AM,0.56,0.05,24.9,24.06,2.95E+13,B
KIDS_165.0_0.5,165,0.5,g,02/13/15 07:07 AM,1.06,0.04,24.68,23.57,1.61E+13,B
KIDS_218.6_2.5,218.607,2.478,g,06/06/13 01:50 AM,0.84,0.04,25.21,24.18,1.74E+13,B
KIDS_335.0_-33.1,335.05,-33.137,i,08/22/12 01:58 AM,0.81,0.06,24.18,23.13,1.31E+13,A
KIDS_349.2_-34.1,349.2,-34.126,i,07/02/12 05:45 AM,0.74,0.05,23.34,22.34,1.27E+13,B
KIDS_178.0_0.5,178,0.5,r,04/10/13 04:32 AM,0.64,0.05,24.79,23.93,3.17E+13,A
KIDS_336.2_-33.1,336.238,-33.137,g,05/06/14 08:56 AM,1.1,0.05,25,23.83,1.65E+13,A
KIDS_221.0_-1.5,221,-1.489,g,07/08/15 11:26 PM,0.72,0.06,25.15,24.18,1.65E+13,B
KIDS_178.0_0.5,178,0.5,u,06/08/12 12:20 AM,0.67,0.04,24.17,23.1,3.25E+12,A
KIDS_221.0_1.5,221,1.489,u,05/28/14 02:15 AM,1.32,0.04,23.92,22.33,2.43E+12,B
KIDS_181.5_2.5,181.504,2.478,u,01/19/15 08:23 AM,1.06,0.03,24.24,23.02,3.32E+12,B
KIDS_357.6_-32.1,357.647,-32.148,r,09/29/13 06:18 AM,0.58,0.05,24.81,24,3.01E+13,A
KIDS_131.0_-0.5,131,-0.5,i,05/03/12 11:37 PM,1.09,0.04,23.46,22.08,1.29E+13,B
KIDS_338.4_-34.1,338.4,-34.126,u,08/20/12 03:08 AM,1.16,0.03,24.34,23.29,3.32E+12,A
KIDS_165.0_0.5,165,0.5,u,01/20/15 07:05 AM,0.81,0.04,24.24,23.14,3.37E+12,B
KIDS_218.6_2.5,218.607,2.478,u,04/18/13 05:13 AM,0.93,0.05,24.21,23.11,3.31E+12,B
KIDS_165.0_0.5,165,0.5,r,06/16/15 11:15 PM,0.5,0.05,24.77,23.97,2.99E+13,B
KIDS_218.6_2.5,218.607,2.478,r,04/06/13 07:24 AM,0.64,0.05,24.77,23.85,3.15E+13,C
KIDS_212.6_2.5,212.591,2.478,u,03/06/14 08:41 AM,0.86,0.04,24.12,22.85,3.29E+12,B
KIDS_336.5_-32.1,336.471,-32.148,u,08/22/14 05:26 AM,1.06,0.04,24.31,23.23,3.51E+12,B
KIDS_338.4_-34.1,338.4,-34.126,r,10/07/13 01:58 AM,0.62,0.05,25.1,24.23,3.18E+13,B
KIDS_181.5_2.5,181.504,2.478,r,04/22/14 02:04 AM,0.62,0.05,24.83,23.95,3.02E+13,A
KIDS_212.6_2.5,212.591,2.478,r,05/31/13 03:16 AM,0.61,0.05,25.01,24.11,3.14E+13,B
KIDS_47.2_-30.2,47.157,-30.17,i,12/20/11 03:57 AM,0.64,0.05,24.23,23.4,1.32E+13,A
KIDS_349.4_-32.1,349.412,-32.148,g,11/25/14 02:33 AM,1.09,0.04,25.11,23.83,1.68E+13,B
KIDS_221.0_1.5,221,1.489,i,02/25/13 08:01 AM,0.59,0.06,23.53,22.6,1.37E+13,B
KIDS_39.6_-31.2,39.612,-31.159,g,11/27/13 05:11 AM,0.95,0.05,25.11,23.98,1.66E+13,B
KIDS_36.5_-32.1,36.471,-32.148,g,12/18/14 04:32 AM,1.02,0.04,25.06,23.83,1.62E+13,B
KIDS_212.6_2.5,212.591,2.478,g,03/08/14 09:03 AM,0.98,0.04,25.08,23.93,1.71E+13,B
KIDS_212.6_2.5,212.591,2.478,i,06/06/12 03:55 AM,0.73,0.05,23.46,22.37,1.30E+13,B
KIDS_237.7_2.5,237.66,2.478,g,07/17/15 03:25 AM,0.94,0.05,25.11,23.96,1.55E+13,A
KIDS_350.8_-30.2,350.799,-30.17,g,10/04/15 11:59 PM,1.06,0.05,25.2,23.98,1.64E+13,A
KIDS_330.6_-32.1,330.588,-32.148,i,06/02/12 05:40 AM,0.95,0.06,23.33,22.24,1.34E+13,C
KIDS_338.8_-32.1,338.824,-32.148,r,09/30/14 01:41 AM,0.94,0.05,24.95,23.82,3.03E+13,B
KIDS_176.0_-1.5,176,-1.489,i,01/31/15 04:03 AM,0.83,0.05,23.41,22.34,1.18E+13,B
KIDS_134.0_-1.5,134,-1.489,u,01/18/13 04:11 AM,1.22,0.04,24.2,22.86,3.16E+12,A
KIDS_188.0_0.5,188,0.5,i,04/28/13 01:29 AM,0.57,0.06,23.74,22.92,1.40E+13,B
KIDS_224.0_0.5,224,0.5,u,05/06/14 05:38 AM,0.88,0.04,24.14,22.85,3.28E+12,C
KIDS_180.5_2.5,180.501,2.478,u,04/15/13 02:23 AM,1.08,0.03,24.16,23.13,3.30E+12,B
KIDS_214.6_2.5,214.596,2.478,u,04/09/14 06:18 AM,0.65,0.04,24.15,22.9,3.30E+12,A
KIDS_138.0_1.5,138,1.489,u,04/11/13 12:58 AM,0.95,0.03,24.14,22.73,3.31E+12,B
KIDS_341.6_-30.2,341.597,-30.17,g,06/19/15 06:42 AM,0.92,0.05,25.11,24.01,1.60E+13,A
KIDS_344.9_-31.2,344.854,-31.159,g,09/21/14 02:26 AM,0.85,0.05,25.17,24.12,1.64E+13,B
KIDS_3.6_-34.1,3.6,-34.126,g,08/25/14 05:06 AM,1.04,0.03,25.3,24.08,1.70E+13,A
KIDS_34.8_-34.1,34.8,-34.126,u,01/09/15 01:20 AM,1.02,0.04,24.26,23.09,3.37E+12,B
KIDS_211.0_0.5,211,0.5,g,06/08/15 12:34 AM,1.06,0.05,25.23,24.04,1.65E+13,A
KIDS_349.6_-30.2,349.649,-30.17,r,09/26/14 01:03 AM,0.72,0.05,24.85,23.86,2.75E+13,B
KIDS_345.6_-34.1,345.6,-34.126,r,07/21/14 05:58 AM,0.88,0.04,25.11,24.06,3.17E+13,B
KIDS_223.0_1.5,223,1.489,r,03/27/14 06:10 AM,0.9,0.06,24.81,23.74,2.98E+13,A
KIDS_224.0_-1.5,224,-1.489,i,07/12/14 03:02 AM,0.76,0.05,23.16,22.05,1.33E+13,B
KIDS_214.0_0.5,214,0.5,g,05/14/15 05:29 AM,0.73,0.06,25.1,24.09,1.61E+13,B
KIDS_213.6_2.5,213.593,2.478,r,03/27/14 05:31 AM,0.73,0.06,24.79,23.81,2.95E+13,B
KIDS_225.0_-0.5,225,-0.5,u,07/18/15 12:45 AM,1.03,0.03,24.21,22.81,3.11E+12,A
KIDS_225.0_-0.5,225,-0.5,r,07/17/15 12:49 AM,0.69,0.04,25.11,24.12,3.02E+13,A
KIDS_342.0_-34.1,342,-34.126,u,09/25/13 01:43 AM,1.15,0.04,24.31,23.08,3.42E+12,B
KIDS_51.8_-30.2,51.757,-30.17,r,01/03/14 03:29 AM,0.85,0.05,25.12,24.08,3.04E+13,B
KIDS_225.0_-0.5,225,-0.5,i,07/26/14 02:15 AM,0.63,0.05,24.27,23.36,1.34E+13,B
KIDS_236.0_0.5,236,0.5,g,07/09/15 02:45 AM,0.8,0.04,25.17,24.02,1.63E+13,B
KIDS_214.6_-2.5,214.596,-2.478,i,03/24/13 05:06 AM,0.69,0.05,23.79,22.9,1.35E+13,B
KIDS_236.0_0.5,236,0.5,u,04/15/15 07:46 AM,1.19,0.06,24.11,22.72,3.28E+12,B
KIDS_219.0_1.5,219,1.489,g,04/04/14 08:47 AM,1.06,0.04,24.98,23.74,1.63E+13,A
KIDS_211.0_-1.5,211,-1.489,r,07/19/14 11:26 PM,0.62,0.05,24.98,24.15,3.06E+13,B
KIDS_343.9_-30.2,343.898,-30.17,r,09/24/14 02:25 AM,0.81,0.06,25,23.94,3.08E+13,B
KIDS_137.4_2.5,137.382,2.478,g,02/24/14 04:53 AM,0.85,0.04,25.06,23.93,1.71E+13,B
KIDS_177.5_-2.5,177.493,-2.478,u,02/01/14 06:47 AM,1.19,0.03,24.27,23.15,3.35E+12,B
KIDS_37.2_-34.1,37.2,-34.126,g,12/19/14 03:31 AM,0.64,0.05,25.23,24.29,1.71E+13,B
KIDS_211.0_-1.5,211,-1.489,g,03/25/14 07:05 AM,0.76,0.04,24.74,23.75,1.66E+13,B
KIDS_137.4_2.5,137.382,2.478,r,01/30/14 05:33 AM,0.71,0.04,24.93,23.99,2.92E+13,A
KIDS_137.4_2.5,137.382,2.478,u,02/13/13 03:07 AM,1.11,0.03,24.18,22.85,3.26E+12,A
KIDS_177.5_-2.5,177.493,-2.478,g,02/24/14 08:37 AM,0.77,0.04,24.68,23.66,1.67E+13,B
KIDS_51.1_-33.1,51.089,-33.137,g,02/21/14 01:33 AM,1.04,0.05,25.13,23.94,1.64E+13,A
KIDS_211.0_-1.5,211,-1.489,i,01/28/13 06:35 AM,0.81,0.05,23.44,22.37,1.32E+13,C
KIDS_134.0_1.5,134,1.489,u,04/11/13 12:31 AM,0.85,0.03,24.07,22.74,3.23E+12,B
KIDS_232.0_0.5,232,0.5,g,05/21/15 06:36 AM,0.99,0.06,25.1,23.89,1.65E+13,A
KIDS_357.6_-32.1,357.647,-32.148,i,06/06/12 07:46 AM,1.09,0.05,23.37,22.1,1.30E+13,B
KIDS_358.8_-32.1,358.824,-32.148,u,11/06/13 03:26 AM,0.76,0.04,24.1,22.78,3.29E+12,B
KIDS_343.9_-30.2,343.898,-30.17,g,09/21/14 02:00 AM,0.81,0.04,25.08,24.05,1.65E+13,B
KIDS_210.6_2.5,210.585,2.478,r,05/13/15 04:23 AM,0.54,0.05,24.84,24.04,2.94E+13,A
KIDS_210.6_2.5,210.585,2.478,u,04/14/15 04:59 AM,1.16,0.06,24.02,22.6,3.02E+12,A
KIDS_358.8_-32.1,358.824,-32.148,r,10/01/13 02:46 AM,0.61,0.04,25.06,24.23,3.10E+13,B
KIDS_217.0_1.5,217,1.489,i,02/25/13 06:32 AM,0.62,0.05,23.36,22.42,1.36E+13,B
KIDS_185.5_2.5,185.515,2.478,i,01/25/13 06:32 AM,0.78,0.04,23.53,22.49,1.37E+13,B
KIDS_358.8_-32.1,358.824,-32.148,g,11/24/14 02:25 AM,0.64,0.05,25.16,24.23,1.75E+13,A
KIDS_210.6_2.5,210.585,2.478,g,06/09/15 02:11 AM,0.89,0.04,25.23,24.07,1.66E+13,B
KIDS_211.6_-2.5,211.588,-2.478,g,07/12/15 12:49 AM,0.88,0.04,24.9,23.79,1.34E+13,B
KIDS_42.0_-34.1,42,-34.126,g,12/25/14 02:03 AM,1.05,0.04,25.24,24.07,1.74E+13,A
KIDS_234.0_0.5,234,0.5,g,04/09/14 09:13 AM,0.76,0.05,25.05,24,1.67E+13,B
KIDS_186.5_2.5,186.518,2.478,u,02/21/13 07:57 AM,1.05,0.04,24.22,22.94,3.23E+12,B
KIDS_348.0_-34.1,348,-34.126,u,07/27/14 07:15 AM,1.21,0.04,24.36,23.02,3.48E+12,C
KIDS_336.7_-31.2,336.699,-31.159,i,07/03/12 04:19 AM,0.69,0.05,23.03,22.04,1.30E+13,C
KIDS_42.0_-34.1,42,-34.126,u,01/15/15 01:39 AM,0.96,0.04,24.34,23.17,3.31E+12,A
KIDS_353.0_-31.2,353.01,-31.159,g,10/28/13 04:41 AM,0.75,0.05,25.07,24.09,1.63E+13,A
KIDS_234.0_0.5,234,0.5,u,04/15/15 06:53 AM,1.21,0.06,24.19,22.68,3.35E+12,B
KIDS_50.1_-31.2,50.097,-31.159,i,11/08/11 06:24 AM,0.66,0.05,23.81,22.93,1.39E+13,A
KIDS_238.0_1.5,238,1.489,u,05/18/15 05:52 AM,1,0.03,24.25,23.03,3.26E+12,A
KIDS_234.0_0.5,234,0.5,r,04/01/15 08:28 AM,0.56,0.05,24.94,24.07,2.98E+13,A
KIDS_176.0_0.5,176,0.5,g,03/28/14 03:12 AM,0.84,0.05,25.04,23.95,1.66E+13,B
KIDS_176.0_0.5,176,0.5,i,12/25/12 06:30 AM,1.03,0.05,23.63,22.34,1.32E+13,B
KIDS_48.2_-32.1,48.235,-32.148,i,11/07/11 07:04 AM,0.6,0.05,23.85,22.94,1.37E+13,B
KIDS_186.5_-2.5,186.518,-2.478,u,07/01/13 11:29 PM,1.26,0.06,24.19,23.09,3.31E+12,B
KIDS_344.4_-34.1,344.4,-34.126,g,06/22/14 06:26 AM,0.89,0.04,25.17,24.04,1.67E+13,A
KIDS_354.1_-33.1,354.059,-33.137,i,05/09/12 08:36 AM,0.75,0.05,23.47,22.51,1.30E+13,B
KIDS_140.4_2.5,140.39,2.478,u,03/20/12 01:53 AM,0.88,0.03,24.25,23.05,3.31E+12,A
KIDS_212.0_-0.5,212,-0.5,r,03/26/14 05:30 AM,0.73,0.06,24.8,23.83,3.00E+13,B
KIDS_138.0_1.5,138,1.489,i,05/08/12 01:02 AM,0.83,0.05,23.4,22.36,1.32E+13,B
KIDS_354.1_-33.1,354.059,-33.137,g,10/28/13 03:47 AM,0.63,0.05,25.16,24.32,1.69E+13,A
KIDS_223.0_0.5,223,0.5,u,03/01/14 08:48 AM,0.84,0.04,24.26,22.95,3.34E+12,B
KIDS_180.0_0.5,180,0.5,u,03/01/12 05:22 AM,0.95,0.04,24.22,23.14,3.21E+12,A
