# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_173.5_2.5,173.482,2.478,r,04/20/14 12:26 AM,0.75,0.05,24.83,23.87,3.13E+13,A
KIDS_173.5_2.5,173.482,2.478,i,12/28/12 06:33 AM,0.96,0.05,23.29,22.16,1.36E+13,B
KIDS_176.0_0.5,176,0.5,r,04/08/13 03:08 AM,0.57,0.05,24.79,23.91,3.13E+13,A
KIDS_173.5_2.5,173.482,2.478,g,04/28/14 12:22 AM,0.67,0.04,25.14,24.19,1.71E+13,B
KIDS_186.5_-2.5,186.518,-2.478,r,02/22/13 07:59 AM,0.64,0.05,25.04,24.12,3.12E+13,B
KIDS_180.0_0.5,180,0.5,i,06/29/14 12:56 AM,0.93,0.05,23.86,22.69,1.34E+13,A
KIDS_138.0_1.5,138,1.489,g,04/04/14 02:26 AM,1.03,0.05,25.11,23.87,1.68E+13,A
KIDS_140.4_2.5,140.39,2.478,r,01/03/14 07:19 AM,0.69,0.05,25.05,24.09,3.08E+13,B
KIDS_138.0_1.5,138,1.489,r,02/23/14 02:28 AM,0.88,0.06,25.05,23.9,3.19E+13,A
KIDS_174.5_-2.5,174.485,-2.478,i,02/22/13 03:55 AM,0.77,0.05,23.66,22.7,1.38E+13,B
KIDS_236.7_2.5,236.657,2.478,u,04/19/15 08:01 AM,1.4,0.06,23.85,22.26,2.65E+12,B
KIDS_215.0_-0.5,215,-0.5,r,06/22/14 02:00 AM,0.75,0.04,25.06,24.08,3.11E+13,B
KIDS_343.2_-34.1,343.2,-34.126,g,06/22/14 05:52 AM,0.96,0.05,25.14,24.01,1.64E+13,B
KIDS_236.7_2.5,236.657,2.478,i,03/17/14 06:52 AM,0.63,0.06,23.28,22.36,1.25E+13,B
KIDS_1.2_-33.1,1.188,-33.137,i,10/06/11 06:50 AM,0.54,0.05,24.09,23.27,1.36E+13,C
KIDS_215.0_-0.5,215,-0.5,i,03/24/13 05:42 AM,0.61,0.05,23.84,23.02,1.34E+13,B
