,ID,score,P1,P3,RA,DEC,DISC
79,3430.0,4.0,,0.893,130.73718,1.55961,0.0
80,445.0,4.0,0.863,0.897,133.9433,-0.8440799999999999,0.0
81,1810.0,4.0,,0.902,130.94731000000002,-0.8981299999999999,0.0
82,614.0,4.0,,0.905,139.37514,1.14885,0.0
83,3132.0,4.0,,0.905,140.16211,0.79018,0.0
84,746.0,4.0,,0.9079999999999999,140.50739,-0.98126,0.0
85,1213.0,4.0,,0.912,132.58467,1.5456299999999998,0.0
86,178.0,4.0,,0.912,138.84712,-0.004370000000000001,0.0
87,2258.0,4.0,,0.919,140.83371,0.99331,0.0
88,2220.0,4.0,,0.92,133.13342,1.28864,0.0
89,2605.0,4.0,,0.9229999999999999,133.88799,0.07105,0.0
90,755.0,4.0,,0.925,135.9112,-1.8344900000000002,0.0
91,1578.0,4.0,0.976,0.9390000000000001,138.6586,-1.30571,0.0
92,1435.0,4.0,0.9790000000000001,0.945,136.57536000000002,-0.41515,0.0
93,396.0,4.0,,0.9490000000000001,139.76028,0.59292,0.0
94,1736.0,4.0,0.866,0.9540000000000001,131.40182,-1.50206,0.0
95,1507.0,4.0,0.981,0.9740000000000001,132.12458999999998,0.8834799999999999,0.0
96,2127.0,4.0,0.9590000000000001,0.981,135.78537,1.75453,0.0
97,1698.0,4.0,0.983,0.988,136.45627,-0.05697000000000001,0.0
98,847.0,4.0,0.932,0.996,139.98456000000002,0.058089999999999996,0.0
99,3407.0,4.0,0.971,1.0,133.20793,1.8080200000000002,0.0
100,481.0,4.0,0.887,,137.08908,1.26083,0.0
101,825.0,4.0,0.9309999999999999,,130.79007,-0.8879100000000001,0.0
102,2287.0,4.0,0.872,,136.76682,1.37017,0.0
103,791.0,4.0,0.8290000000000001,,131.45369,-0.5431199999999999,0.0
104,1601.0,4.0,0.8390000000000001,,134.80893,2.70237,0.0
105,3124.0,4.0,0.9590000000000001,,138.01161000000002,2.06466,0.0
106,1262.0,4.0,0.8370000000000001,,133.80411,1.07405,0.0
107,3176.0,4.0,0.8220000000000001,,137.91167,2.6070599999999997,0.0
108,573.0,4.0,0.945,,137.07834,2.38994,0.0
109,2221.0,4.0,0.8059999999999999,,137.10535,2.4184099999999997,0.0
110,1158.0,4.0,0.8029999999999999,,137.46832,2.81481,0.0
111,1607.0,4.0,0.8079999999999999,,133.64789,0.46448,0.0
112,2644.0,4.0,0.9009999999999999,,139.86987,-0.35594000000000003,0.0
113,3294.0,4.0,0.929,,130.02208000000002,1.9054099999999998,0.0
114,1567.0,4.0,0.894,,137.16631999999998,-1.9694900000000002,0.0
115,1819.0,4.0,0.8759999999999999,,135.56916999999999,2.36495,0.0
116,1767.0,4.0,0.8240000000000001,,139.11212,-0.04138,0.0
117,3084.0,4.0,0.909,,140.5068,-1.2726600000000001,0.0
118,2906.0,4.0,0.9059999999999999,,131.2854,1.36765,0.0
119,2520.0,4.0,0.866,,129.74776,2.48322,0.0
120,1854.0,4.0,0.8190000000000001,,130.765,1.91609,0.0
121,63.0,4.0,0.887,,131.7998,0.90489,0.0
122,3184.0,4.0,0.956,,132.08258,0.91614,0.0
123,3008.0,4.0,0.83,,130.6132,2.12032,0.0
124,3063.0,4.0,0.958,,130.5939,2.46245,0.0
125,2560.0,4.0,0.924,,134.66179,-1.65638,0.0
126,1743.0,4.0,0.895,,135.38005,-1.29831,0.0
127,1608.0,4.0,0.835,,130.76736,0.49778,0.0
128,1841.0,4.0,0.934,,130.78285,0.70524,0.0
129,357.0,4.0,0.843,,134.4023,-1.83634,0.0
130,1594.0,4.0,0.93,,133.72586,-1.38399,0.0
131,970.0,4.0,0.9259999999999999,,134.4621,-1.32389,0.0
132,3082.0,4.0,0.863,,138.8031,-1.37304,0.0
133,1786.0,4.0,0.871,,139.42383999999998,-1.33286,0.0
134,2992.0,4.0,0.937,,130.12036,-1.9622,0.0
135,36.0,4.0,0.922,,129.29506999999998,-0.99634,0.0
136,964.0,4.0,0.821,,130.07007,0.17884,0.0
137,1293.0,4.0,0.8540000000000001,,136.0175,1.7465400000000002,0.0
138,2958.0,4.0,0.943,,139.34386,1.02357,0.0
139,3304.0,4.0,0.945,,130.54013,-1.58669,0.0
140,3020.0,4.0,0.8590000000000001,,130.89981,-1.11752,0.0
141,2897.0,4.0,0.909,,139.30637,1.19776,0.0
142,729.0,4.0,0.9109999999999999,,131.42297,2.4245,0.0
143,2558.0,54.0,1.0,0.9990000000000001,133.69397,-1.36032,1.0
144,2429.0,12.0,0.8759999999999999,0.9279999999999999,138.37955,0.65181,2.0
145,1521.0,4.0,0.9309999999999999,,132.11688,2.37434,2.0
146,1938.0,42.0,0.903,0.992,129.35904,1.9442700000000002,2.0
147,1800.0,4.0,,0.909,129.35904,1.94428,2.0
148,248.0,58.0,0.95,0.96,176.18675,0.22968000000000002,0.0
149,2058.0,58.0,0.907,,183.07338000000001,1.88558,0.0
150,2187.0,42.0,0.968,0.997,183.60019,-0.53509,0.0
151,3098.0,38.0,0.9620000000000001,,181.19672,-2.7200900000000003,0.0
152,534.0,36.0,0.99,,185.64713999999998,-2.42117,0.0
153,817.0,32.0,0.988,0.929,180.41615,-0.20731,0.0
154,1426.0,30.0,0.9229999999999999,0.9079999999999999,176.58809,-1.68118,0.0
155,2369.0,30.0,,0.966,178.83655,0.8845700000000001,0.0
156,3357.0,28.0,0.9790000000000001,0.8220000000000001,174.8049,-0.00257,0.0
157,1822.0,28.0,0.892,0.99,183.06471000000002,1.91352,0.0
158,2553.0,28.0,0.909,,179.73003,-2.51895,0.0
159,1180.0,26.0,0.9009999999999999,0.9109999999999999,185.1191,-1.5125,0.0
160,2922.0,26.0,0.943,0.968,182.40587,-2.63013,0.0
161,1551.0,24.0,0.833,,183.83234,-1.41031,0.0
162,1252.0,22.0,0.985,0.988,185.57948000000002,-0.56586,0.0
163,2347.0,22.0,0.887,,184.11784,-0.80592,0.0
164,2954.0,20.0,0.8290000000000001,0.99,182.56155,-2.60815,0.0
165,1169.0,18.0,0.978,1.0,183.32312,1.8864299999999998,0.0
166,2803.0,18.0,0.825,,183.70247,-2.78789,0.0
167,3234.0,18.0,0.8370000000000001,,182.36838,-0.00889,0.0
168,2805.0,16.0,0.8340000000000001,,176.55307,-2.77556,0.0
169,2490.0,16.0,0.9570000000000001,,174.94516000000002,-1.24299,0.0
170,2496.0,16.0,0.958,,174.51166,1.35002,0.0
171,2828.0,14.0,0.975,0.986,183.14009,-1.827,0.0
172,1978.0,14.0,0.996,0.997,184.46341,-2.32577,0.0
173,2409.0,14.0,0.898,,178.51997,0.60517,0.0
174,366.0,14.0,0.917,,185.69833,0.40128,0.0
175,1112.0,12.0,,0.807,178.32164,-1.5413700000000001,0.0
176,975.0,12.0,0.93,0.815,182.73459,-2.22128,0.0
177,1966.0,12.0,0.905,0.8170000000000001,177.61956999999998,1.9102700000000001,0.0
178,3246.0,12.0,,0.9440000000000001,184.84073999999998,-1.3315,0.0
179,2017.0,12.0,,0.9520000000000001,185.7556,1.7227700000000001,0.0
180,3295.0,12.0,0.9520000000000001,0.971,174.91078000000002,0.75636,0.0
181,1783.0,12.0,0.958,0.977,175.1279,0.7379600000000001,0.0
182,2869.0,12.0,0.9570000000000001,0.981,175.94742,0.33676,0.0
183,3236.0,12.0,0.866,,176.58762,-2.61663,0.0
184,2579.0,12.0,0.8420000000000001,,177.58995,-1.01635,0.0
185,1341.0,12.0,0.8009999999999999,,177.34238,-0.204,0.0
186,3014.0,12.0,0.9440000000000001,,182.58621000000002,-1.4531,0.0
187,995.0,12.0,0.8029999999999999,,174.21778999999998,0.09174,0.0
188,2615.0,8.0,,0.8009999999999999,184.59625,-0.17178,0.0
189,2329.0,8.0,,0.81,184.0989,0.69694,0.0
190,850.0,8.0,,0.8290000000000001,183.46042,-2.5883599999999998,0.0
191,3483.0,8.0,,0.8290000000000001,174.28986,1.59304,0.0
192,167.0,8.0,0.9209999999999999,0.887,180.25304,-2.421,0.0
193,2599.0,8.0,,0.89,181.0211,-1.63332,0.0
194,761.0,8.0,,0.9059999999999999,179.05473,-1.03383,0.0
195,1457.0,8.0,,0.9470000000000001,181.63983000000002,1.4747299999999999,0.0
