Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-060.8089-15.0458,60.8089,-15.0458,DEV,22.06,20.65,19.41,0.993,,
DESI-061.1134-17.2082,61.1134,-17.2082,DEV,22.61,20.68,18.72,0.999,,
DESI-061.1909-14.5760,61.1909,-14.576,COMP,18.53,16.7,15.76,0.921,,
DESI-063.6323-04.5427,63.6323,-4.5427,DEV,20.36,18.74,17.87,0.99,,
DESI-131.3607+00.0361,131.3607,0.0361,DEV,24.15,21.79,19.7,0.8,,
DESI-134.0057-07.2488,134.0057,-7.2488,DEV,19.55,17.84,16.87,0.99,,
DESI-135.9714+07.1954,135.9714,7.1954,DEV,25.9,23.38,20.87,0.9,,
DESI-140.8863+20.3278,140.8863,20.3278,DEV,20.77,19.04,18.06,0.873,,
DESI-143.0565-05.6041,143.0565,-5.6041,DEV,21.45,19.61,18.51,0.866,,
DESI-144.1511+08.8633,144.1511,8.8633,COMP,20.53,18.79,17.25,0.987,,
DESI-144.4242+31.4659,144.4242,31.4659,COMP,19.16,17.56,16.27,0.949,0.5969,BOSS
DESI-144.6321-04.2535,144.6321,-4.2535,COMP,21.15,19.36,18.03,0.921,,
DESI-145.0099+05.4279,145.0099,5.4279,DEV,21.35,20.12,18.86,0.9,,
DESI-150.0945+00.0047,150.0945,0.0047,COMP,18.92,18.64,18.18,1,,
DESI-150.8860-02.9493,150.886,-2.9493,DEV,20.89,18.95,17.36,0.992,0.6817,BOSS
DESI-154.5307-00.1368,154.5307,-0.1368,DEV,20.38,18.59,17.68,0.943,0.3718,SDSS
DESI-154.7654+17.0697,154.7654,17.0697,COMP,18.73,17.16,16.32,0.939,0.3013,BOSS
DESI-155.4865+11.2037,155.4865,11.2037,DEV,19.83,18.62,17.82,0.995,,
DESI-157.9622+01.7544,157.9622,1.7544,COMP,20.34,18.78,17.77,0.989,,
DESI-158.7893-02.3037,158.7893,-2.3037,COMP,22.13,20.39,18.82,0.996,,
DESI-167.8517+14.1473,167.8517,14.1473,DEV,17.82,16.44,15.65,0.904,0.2211,SDSS
DESI-170.6983+25.2669,170.6983,25.2669,DEV,20,18.11,17.12,0.983,0.431,SDSS
DESI-192.0242-06.5158,192.0242,-6.5158,COMP,17.68,16.12,15.26,0.983,,
DESI-194.5900+15.6322,194.59,15.6322,DEV,22.41,20.5,18.86,0.977,0.6847,BOSS
DESI-194.8376+11.6490,194.8376,11.649,COMP,19.62,18.33,17.51,0.935,,
DESI-201.7783+02.2129,201.7783,2.2129,DEV,20.33,18.81,17.98,0.636,,
DESI-201.7841-02.2996,201.7841,-2.2996,COMP,21.79,19.97,18.25,0.931,0.7441,BOSS
DESI-202.3729+31.3290,202.3729,31.329,DEV,21.3,19.64,18.67,0.989,,
DESI-204.1663-05.7814,204.1663,-5.7814,DEV,20.06,18.31,17.37,0.991,,
DESI-204.6057+28.3294,204.6057,28.3294,DEV,20.92,19.32,18.02,1,0.5841,BOSS
DESI-211.0927+02.7242,211.0927,2.7242,DEV,21.47,19.83,18.92,0.951,,
DESI-216.1003+25.2423,216.1003,25.2423,DEV,20.53,19.06,18.27,0.989,0.2325,BOSS
DESI-217.1429-07.0963,217.1429,-7.0963,DEV,20.02,18.48,17.62,0.938,,
DESI-217.4784+12.0433,217.4784,12.0433,DEV,21.54,19.98,18.74,0.942,0.5531,BOSS
DESI-219.0374-01.3295,219.0374,-1.3295,DEV,20.1,18.66,17.6,0.847,,
DESI-219.9228+00.5073,219.9228,0.5073,DEV,18.67,17.67,17,0.837,0.1377,SDSS
DESI-241.0592+06.4200,241.0592,6.42,DEV,20.93,19.7,18.93,0.999,,
DESI-241.5432+14.1008,241.5432,14.1008,COMP,19.99,18.38,17.43,0.989,,
DESI-317.3884+05.1456,317.3884,5.1456,COMP,21.71,19.56,18.1,0.976,0.5642,BOSS
DESI-328.5453+00.6329,328.5453,0.6329,COMP,18.81,17.62,16.92,0.998,,
DESI-351.4891-00.8741,351.4891,-0.8741,DEV,23.36,21.27,19.52,0.982,,
