,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e,theta_e_H0,theta_e_Ang,f_dm,theta_e_H0_slide,theta_e_Ang_slide,f_dm_half_re,theta_e_Ang_slide_half_re,lensing_mass_half_effective_radius,theta_e_half_radius,sigma,theta_e_veldisp
0,0,1,1,1,1,485873,217.75015,-1.80042,0.3494560281571705,49080000512.0,0.05389999970793724,125846155158.97435,1.5283697238771166,1.5283697238771166,1.5270346808476711,0.4998175926161156,1.3495734419486312,1.3483945788841185,0.43548708979770334,0.7627671603553116,25411095209.086643,0.6861840461551569,158.21768861608183,0.36097246483256556
1,1,5,5,5,5,84050,175.79849,0.47814,0.3657584981836216,54710001664.0,0.11900000274181365,140282055548.71796,1.0860014532122215,1.0860014532122215,1.0811786892065325,0.5059486746382449,0.9648874896885832,0.9606025740091008,0.4416181718198327,0.5433988752856699,29105569079.574207,0.4924753119344058,163.33285419346714,0.3846901853426172
2,2,6,7,7,7,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,326666670605.1282,1.8686042240068208,1.8686042240068208,1.8635502919031883,0.5536720263206033,1.7467171170821227,1.7419928477047062,0.4893415235021911,0.98541996431237,83724869001.6018,0.9434436003125216,209.2351496459336,0.6312963691208622
3,3,7,8,8,8,70282,179.40308000000005,0.12562,0.6553523393711983,42560000000.0,0.10740000009536743,109128205128.20512,1.00825224309489,1.0082522430948897,1.0046307529260432,0.491770210507309,0.8832251796126688,0.8800527678211247,0.4274397076888967,0.4978330239426461,21263987547.372253,0.4434659879310212,151.746077738134,0.3320465349380897
4,4,8,9,9,9,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,210820510851.28204,1.3981331650837734,1.3981331650837734,1.3930628536826195,0.5289470708903979,1.2721724517014334,1.2675589351586731,0.4646165680719857,0.7170396148834377,48430005753.71812,0.6676848798425609,184.03837852118195,0.4884057858218146
5,5,9,10,10,10,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858,218999991794.8718,1.2356598344239806,1.2356598344239806,1.227565392129102,0.5310961317273751,1.1269102413216392,1.119528185463088,0.4667656289089629,0.6333007773363364,50790041437.56065,0.5911692970544598,186.10243293413953,0.4994225009216007
6,6,11,12,12,12,593852,218.0782,-0.03958,0.386318244376966,225100005376.0,0.13079999387264252,577179500964.1025,2.10113723428067,2.1011372342806705,2.089785144777097,0.5858088156984449,2.0388547951816065,2.0278392071742792,0.5214783128800327,1.147119083639108,170554061856.66107,1.1359970980074825,247.20999343444927,0.8812437497798601
7,7,15,17,17,17,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606,79333333989.74359,0.7592131197637374,0.7592131197637374,0.7546488073897952,0.4737676406843757,0.6535927599350736,0.6496634264659431,0.4094371378659634,0.3675051314743651,14273914017.731981,0.320102138293433,138.21094986267659,0.27545388815999766
8,8,16,18,18,18,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246,734871804061.5385,2.6336356585837666,2.633635658583767,2.624429001913039,0.5994459048939964,2.598707556225304,2.5896230011237606,0.5351154020755842,1.4649119878490158,230668305093.9811,1.4703576939209897,265.3395108012762,1.0152379695246914
9,9,17,19,19,19,600421,135.49058,0.28417,0.4201886208185716,26210000896.0,0.05649999901652336,67205130502.5641,1.090887149535772,1.090887149535772,1.08983821143414,0.4644007146531085,0.9308766463645032,0.9299815657113792,0.40007021183469627,0.5260770171943993,11600493896.143871,0.4527923246435325,131.65302473277777,0.24993419958834326
10,10,18,20,20,20,574423,135.75994,-0.20038,0.4643369877716501,50789998592.0,0.053599998354911804,130230765620.51282,1.5591117348085046,1.5591117348085044,1.5577652379110782,0.5017511661025816,1.37938785654345,1.3781965747207834,0.4374206632841694,0.7796257150345107,26522559730.632343,0.7029961221240373,159.8133343866638,0.36829008689151405
11,11,19,21,21,21,324764,137.20387,1.72633,0.4227567639279565,46470000640.0,0.10440000146627426,119153847794.8718,1.068578950519235,1.068578950519235,1.0649589210095944,0.4967324481998148,0.940674677940638,0.9374879502856884,0.4324019453814026,0.5303232695421499,23733322093.122208,0.4752893541913109,155.7046543579482,0.3495965943269429
12,12,21,24,24,24,342699,216.90174,2.1325,0.4570880393017274,28450000896.0,0.08760000020265579,72948720246.15384,0.9127663409506284,0.9127663409506284,0.9106122649461514,0.4690306969731303,0.7822709688522732,0.7804248544115845,0.4047001941547181,0.4414749654087644,12852734627.0225,0.38222793762210266,134.85470686426194,0.26223836125060335
13,13,22,25,25,25,363319,218.85395,2.56676,0.4575320404435686,33429999616.0,0.09849999845027924,85717947733.33333,0.9330836983877916,0.9330836983877916,0.9302802138501768,0.4781377283085152,0.8066310869324116,0.8042075339503141,0.413807225490103,0.4549284805900623,15724004146.117838,0.3984368303907783,141.3812955080988,0.288235797682523
14,14,23,26,26,26,418788,137.69141000000002,2.74717,0.3430625755391247,55779999744.0,0.1436000019311905,143025640369.23074,0.9982344626459658,0.9982344626459656,0.9916858345921143,0.5070422060317912,0.8878916953954433,0.8820669391053868,0.4427117032133789,0.4989724112815044,29818845175.30613,0.4528064132952898,164.26241471740505,0.38908134569736563
