0,3899011.0
1,376338.0
2,323152.0
3,663364.0
4,3629152.0
5,3575500.0
6,197972.0
7,3883690.0
9,3911769.0
10,371400.0
11,204703.0
12,279505.0
13,386188.0
14,3599660.0
143,3882191.0
146,345423.0
149,231282.0
150,561459.0
151,165409.0
152,173045.0
153,584826.0
155,98583.0
156,583457.0
157,231281.0
158,124486.0
159,186586.0
160,125077.0
161,145278.0
162,561967.0
163,41064.0
166,165871.0
167,585328.0
300,136604.0
303,49576.0
304,15790.0
305,568617.0
306,619609.0
307,568366.0
308,569270.0
309,64911.0
311,249703.0
312,298994.0
313,107432.0
314,92918.0
315,92606.0
316,544226.0
419,250289.0
