,Mean,Median,Min,Max,Std
Spec Stellar Mass,61074811488.0,57415000064.0,5746999808.0,143799992320.0,41229880217.350494
Spec Redshift,0.2644782608695652,0.26899999999999996,0.109,0.529,0.09691367741224774
GAMA Stellar Mass,56781231101.82378,36425000960.0,3403.0,3608000069632.0,69010613134.54599
GAMA Redshift,0.2144889063995664,0.19679999351501465,0.0010000000474974513,4.607900142669678,0.11738255822949976
