,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,theta_e,theta_e_H0,theta_e_Ang,f_dm,theta_e_H0_slide,theta_e_Ang_slide,f_dm_half_re,theta_e_Ang_slide_half_re,lensing_mass_half_effective_radius,theta_e_half_radius,sigma,theta_e_veldisp
0,0,0,0,3899011.0,2251.0,131.33397,-0.9156299999999999,64.0,329399992320.0,0.4027000069618225,1.4485767216729273,1.4485767216729273,1.364565820930686,0.6073040660120541,1.4435957776512676,1.359873749143093,0.5429735631936419,0.769260759661324,274503044810.61566,0.7779265309712459,265.71760374852056,1.0181333377992716
1,1,1,1,376338.0,2660.0,132.98734,1.50468,30.0,303399993344.0,0.3271999955177307,1.5423099736239947,1.5423099736239951,1.4849737972157937,0.6026620237000088,1.5280020355438615,1.4711977641844702,0.5383315208815965,0.8322351324170609,247692093488.6793,0.8379138759161746,259.6488325936963,0.9721577713552886
2,2,2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,827700019200.0,0.7215999960899353,1.7153737096024877,1.7153737096024877,1.3547242098825982,0.6593234854855023,1.8353544769278318,1.4494795680334478,0.5949929826670901,0.8199494653982391,868428148265.6477,0.8665899712308267,0.0,0.0
3,3,3,3,663364.0,2669.0,140.35284,-0.97414,28.0,268800000000.0,0.3221000134944916,1.463153157262249,1.4631531572622491,1.4105518526380822,0.5958258043696324,1.4372681476325193,1.385597425886826,0.5314953015512202,0.7838122686713596,212901766858.17227,0.7839644326724873,250.96295725807383,0.9082036651555566
4,4,4,4,3629152.0,1933.0,135.88863999999998,-0.9748700000000001,26.0,212900003840.0,0.4059000015258789,1.1599755527031703,1.1599755527031703,1.09154651223695,0.5826628370052995,1.1213407633487242,1.0551908584711622,0.5183323341868873,0.5969060891768108,159078787359.9559,0.5892408550542195,235.04843454097343,0.7966704886902415
5,5,5,5,3575500.0,1906.0,129.23265,-1.57512,26.0,320900005888.0,0.36520001292228704,1.5013778297363507,1.5013778297363507,1.4307866187344667,0.6058280642583345,1.4934113647813139,1.4231947179946751,0.5414975614399222,0.8050805088343285,265677540099.0137,0.8130171962743117,263.7727290952245,1.0032837754080222
6,6,6,6,197972.0,2007.0,137.85838,-0.7528,24.0,355100000256.0,0.33730000257492065,1.6433788453769458,1.6433788453769456,1.5781895895398963,0.6115455874399122,1.6466449482994918,1.5813261332803912,0.5472150846214999,0.8945331456880535,301530345912.8483,0.908200328016056,271.38668679755807,1.0620405076568427
7,7,7,7,3883690.0,2756.0,134.57492,-1.55142,22.0,136200003584.0,0.2480999976396561,1.1867130207908425,1.1867130207908425,1.1622006172134396,0.5574430254706366,1.1140210992202864,1.0910101991126666,0.4931125226522245,0.6171685681090016,91015232725.4703,0.5933102998091379,207.32122697978696,0.619799960905507
8,8,8,8,3911769.0,1704.0,138.66089,-1.11639,20.0,173999996928.0,0.2793999910354614,1.2639559960726945,1.2639559960726947,1.2303770405200185,0.5712714012799572,1.2055161441056574,1.1734897340512451,0.5069408984615451,0.6638260388803467,123617294949.17168,0.6476427669042154,222.09272696218966,0.7112670282520467
9,9,9,9,371400.0,2275.0,131.20438000000001,1.00064,18.0,202099998720.0,0.2948000133037567,1.3261417079454088,1.3261417079454083,1.2866583830442082,0.5797236203994112,1.2774818730334052,1.2394473013536431,0.5153931175809989,0.7011372733684219,149056381344.16742,0.6900613268132001,231.634974135265,0.7736994181966547
10,10,10,10,204703.0,887.0,139.07321000000002,-0.40157,18.0,274200002560.0,0.3179999887943268,1.4872730315080944,1.4872730315080944,1.4352449392021382,0.5969487690860629,1.4629951305556466,1.4118163327941278,0.5326182662676507,0.7986439221669211,218261433526.44116,0.7996742323120595,252.36955080778893,0.9184127686303432
11,11,11,11,279505.0,654.0,137.68558000000002,1.0564799999999999,18.0,129800003584.0,0.2263000011444092,1.2130134105229748,1.2130134105229748,1.1923799303235063,0.5547257115792753,1.1352306200339934,1.115920232929367,0.4903952087608631,0.6312598111741017,85701034774.37248,0.6050658495980819,204.53620417087458,0.6032598024296728
12,12,12,12,386188.0,1677.0,130.0474,2.1025099999999997,18.0,241499996160.0,0.3598000109195709,1.3121953852749122,1.3121953852749122,1.2524363148307212,0.5897792266636573,1.2794460713866564,1.2211784469402254,0.5254487238452451,0.6908028486962319,186225477013.4266,0.6868294976286269,243.52284734084242,0.855152224262756
13,13,13,13,3599660.0,635.0,129.29506,-0.99631,18.0,194599993344.0,0.3813999891281128,1.1440673732424689,1.1440673732424689,1.0850295569532535,0.5775885667401327,1.099299604445517,1.0425719591931892,0.5132580639217206,0.5897677617763588,142174336940.2033,0.5791793478380309,229.18655295858449,0.7574295929016334
14,14,14,14,3882191.0,2558.0,133.69397,-1.36032,54.0,393299984384.0,0.3555999994277954,1.6844247608952052,1.6844247608952052,1.6096178202296827,0.6173141107915876,1.7004454171823893,1.6249269836012314,0.5529836079731754,0.9191975112299464,342608076490.9477,0.9381923961382193,279.29131065941283,1.12480917918649
