,Unnamed: 0,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e
15953,15953,521819,131.36708000000002,2.91472,0.4968857724712369,4328000000.0,0.07919999957084656,11097435897.435898,0.3744135561178379
16190,16190,196837,132.90975,-0.69973,0.4873382424544388,47400001536.0,0.10459999740123747,121538465476.92307,1.0781864488350943
16625,16625,372045,133.97321000000002,0.9832,0.37830414114878375,24569999360.0,0.11940000206232072,62999998358.97436,0.7265590781658917
17522,17522,197611,136.03367,-0.72014,0.3193540104753855,10119999488.0,0.11630000174045566,25948716635.897434,0.47246638277887154
17719,17719,216186,137.06817,0.53355,0.4597025018897328,10430000128.0,0.14669999480247498,26743590071.794872,0.42706859452357154
17886,17886,3632594,138.25246,-0.95549,0.3266706654847568,85730000896.0,0.13619999587535858,219820515117.9487,1.2707156978179475
19218,19218,3578853,130.98196000000002,-1.62032,0.3194613381522037,65370001408.0,0.12210000306367876,167615388225.64102,1.1719307178581546
19268,19268,3909064,136.9855,-1.14841,0.4205118760374178,4517000192.0,0.07800000160932541,11582051774.358974,0.3854324510458137
19528,19528,3593943,139.74883,-1.87208,0.5456665120741541,21390000128.0,0.1378999948501587,54846154174.35897,0.6308030677011043
19718,19718,656625,140.24008,-1.85962,0.3112479599176929,15640000512.0,0.09910000115633012,40102565415.38461,0.6362855781964258
19828,19828,3599976,129.38913,-1.10436,0.30950300976594003,3308000000.0,0.11029999703168868,8482051282.051282,0.2773738586348218
19877,19877,3610455,135.09329,-1.21204,0.3308220538355067,12179999744.0,0.12720000743865967,31230768574.358974,0.4956220267575957
20685,20685,287627,174.1965,1.6935200000000001,0.3227870943232424,23520000000.0,0.13439999520778656,60307692307.69231,0.6700227672349207
21533,21533,39718,177.9385,-0.71802,0.3830932151488429,8947999744.0,0.08089999854564668,22943589087.179485,0.5326712445641753
22038,22038,272491,179.56837,1.40109,0.3151683590847517,10480000000.0,0.1316000074148178,26871794871.794872,0.4519841574305207
22095,22095,70376,179.62517,0.05585,0.3136042546750227,15630000128.0,0.13079999387264252,40076923405.128204,0.5536638356288077
22567,22567,536124,180.63978999999998,-1.03748,0.30210865072383164,1924999936.0,0.09179999679327012,4935897271.794871,0.23193407304084815
23097,23097,40957,183.73733000000001,-0.69189,0.3342535685400784,2211000064.0,0.1243000030517578,5669230933.333333,0.21361381486589745
23801,23801,272460,179.4985,1.4293200000000001,0.3286690785813425,4664000000.0,0.13349999487400055,11958974358.97436,0.2993706184076204
24326,24326,164403,177.41987,-2.72815,0.4065896081915637,19769999360.0,0.08980000019073486,50692306051.28205,0.7515115972017641
25257,25257,171566,178.86637,-2.30917,0.3331830313067841,2151000064.0,0.1273999959230423,5515384779.48718,0.20811626958348242
25334,25334,132158,184.26928999999998,-2.1558200000000003,0.32729285870277885,10400000000.0,0.13019999861717224,26666666666.666664,0.4526699944591423
25359,25359,586565,185.45096,-0.0066099999999999996,0.3543304315363873,7343000064.0,0.10830000042915344,18828205292.307693,0.4170547432937133
26107,26107,238271,213.72842000000003,1.5787799999999999,0.3316935451692872,70780002304.0,0.12870000302791595,181487185394.8718,1.1877814426046753
26697,26697,511516,214.61599999999999,-1.17848,0.3212270688878978,9893000192.0,0.08730000257492065,25366667158.974358,0.5391720968860562
27118,27118,568546,215.49492,-0.5888800000000001,0.6125824645303074,670499968.0,0.051199998706579215,1719230687.1794872,0.18328838047285093
27307,27307,492150,215.09129,-1.47211,0.3311687097769551,56179998720.0,0.1379999965429306,144051278769.23077,1.0219316571450001
27886,27886,16199,217.85542,0.70541,0.32974718994102936,18019999744.0,0.12449999898672105,46205127548.71795,0.6093449895127668
29489,29489,299118,223.34617000000003,1.1418700000000002,0.5596147363753493,12910000128.0,0.1459999978542328,33102564430.76923,0.47627438695634877
29622,29622,229499,223.08137000000002,1.0355,0.4521817880625982,162000000.0,0.045000001788139336,415384615.38461536,0.09609964201393953
29880,29880,570151,222.24417000000003,-0.54052,0.3708727501207729,4784999936.0,0.1396999955177307,12269230605.128204,0.2964239568194879
30903,30903,594681,221.11007999999998,-0.058679999999999996,0.41181676491276376,4088000000.0,0.1460999995470047,10482051282.051281,0.2679173657145125
31404,31404,567899,213.60875,-0.52841,0.32991695798110593,14279999488.0,0.13860000669956207,36615383302.5641,0.514106385869548
32341,32341,543671,212.42117000000002,-0.89741,0.405675659769126,12280000512.0,0.14079999923706055,31487180800.0,0.47300790012060734
34352,34352,267558,222.88792,2.70549,0.3347399440502627,864099968.0,0.13580000400543213,2215640943.5897436,0.12776227346548955
34920,34920,267303,221.5345,2.68138,0.3225447975461271,853800000.0,0.10620000213384627,2189230769.230769,0.1436105483908407
35124,35124,363983,222.27717,2.43775,0.4000092337399169,22499999744.0,0.1444000005722046,57692307035.89743,0.6322344946458138
35165,35165,342161,214.4815,2.29663,0.390170324857976,5738999808.0,0.12849999964237213,14715384123.076923,0.3384831624686188
35418,35418,250110,213.99587000000002,2.1623900000000003,0.33207174065885603,333200000.0,0.08460000157356262,854358974.3589743,0.1005166113098152
35697,35697,342874,217.70954,2.18624,0.31742632415215416,5501000192.0,0.1404000073671341,14105128697.435898,0.31703542544388985
37678,37678,771379,219.9235,0.50872,0.3580177230809917,1792999936.0,0.13699999451637268,4597435733.333333,0.1832316068842814
