,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z
0,484637,211.79006,-1.89456,0.16977783523205772,34889998336.0,0.10289999842643738
1,484621,211.63321,-1.96885,0.06112748750869517,22979999744.0,0.035100001841783524
2,463148,211.68703,-1.33978,0.143398365483332,9269999616.0,0.05350000038743019
3,543438,211.53734,-1.03689,0.21303448008193995,8979999744.0,0.07010000199079514
4,463145,211.63664,-1.23923,0.0007553974679913282,5945999872.0,0.13779999315738678
5,460374,212.03548,-1.7023,0.024226495840740395,48480002048.0,0.02500000037252903
6,484655,211.88866,-1.97102,0.0036986546341687527,13210000384.0,0.05640000104904175
7,460379,211.94664,-1.71637,0.11085506969050792,107700002816.0,0.1136000007390976
8,463176,211.81052,-1.19533,0.04579831845001617,5776000000.0,0.054499998688697815
9,463197,212.00002,-1.29196,0.09313932448669686,131599998976.0,0.11640000343322754
10,491460,211.69443,-1.47829,0.046993377425808204,2236999936.0,0.029500000178813934
11,496943,212.18039,-1.16161,0.045351163652810896,1312000000.0,0.00419999985024333
12,463196,211.95664,-1.28564,0.009676247382230978,86720004096.0,0.14730000495910645
13,463223,212.08134,-1.19515,0.045168141149304765,29250000896.0,0.14090000092983246
14,491441,211.6263,-1.59569,0.11376691427083074,117100003328.0,0.11909999698400497
15,484660,211.95245,-1.98741,0.011883743391501686,55439998976.0,0.05490000173449516
16,491514,212.2353,-1.38686,0.08162557056513357,26699999232.0,0.08900000154972076
17,463265,212.33605,-1.19192,0.006191102004140576,35370000384.0,0.08320000022649765
18,463264,212.33464,-1.26707,0.07414414185184248,5607000064.0,0.04129999876022339
19,484683,212.06239,-1.98593,0.05204451259710828,13009999872.0,0.08290000259876251
20,491511,212.21313,-1.52251,0.0346336145863041,107200004096.0,0.13379999995231628
21,460424,212.21232,-1.60681,0.08511422681550732,421000000.0,0.025299999862909317
22,491509,212.16299,-1.49394,0.08333329973951258,57779998720.0,0.0544000007212162
23,463291,212.49968,-1.28914,0.0355452721700115,48889999360.0,0.11699999868869781
24,491654,212.59485,-1.47229,0.0818261913231344,28870000640.0,0.1386999934911728
25,463285,212.41561,-1.35587,0.10080055949731492,21450000384.0,0.1145000010728836
26,491584,212.41528,-1.46649,0.07025784199585708,31439998976.0,0.11500000208616257
27,491595,212.48097,-1.47463,0.09234163841699189,91079999488.0,0.11490000039339066
28,460428,212.32924,-1.67452,0.08666355584318669,33230000128.0,0.11710000038146973
29,463402,212.89604,-1.25635,0.1631129741967117,76629999616.0,0.13819999992847443
30,496967,212.70039,-1.14441,0.0007393521575666611,5511000064.0,0.05429999902844429
31,463374,212.75694,-1.32125,0.07973621748353331,77769998336.0,0.12790000438690186
32,491604,212.50018,-1.50724,0.07448018341199746,31889999872.0,0.11479999870061874
33,491602,212.49858,-1.57002,0.01851804316484756,25670000640.0,0.11289999634027481
34,460465,212.48665,-1.67352,0.05620434821521979,36470001664.0,0.11219999939203262
35,491686,212.82832,-1.51887,0.13835763939418613,58289999872.0,0.13779999315738678
36,491683,212.77065,-1.48428,0.07368397849790101,163800006656.0,0.13750000298023224
37,460585,212.93581,-1.64631,0.005692905164195507,63400001536.0,0.14830000698566437
38,497008,213.35223,-1.10469,0.09794646232268196,13130000384.0,0.0697999969124794
39,463453,213.16155,-1.34276,0.010509595025971992,28130000896.0,0.1395999938249588
40,491743,213.12768,-1.40597,0.057756785409500404,685100032.0,0.01720000058412552
41,484938,213.337,-1.8859,0.0003752645011111486,2867000064.0,0.07419999688863754
42,463490,213.36226,-1.3324,0.05028600908706442,34689998848.0,0.1379999965429306
43,460756,213.70929,-1.59708,0.002397374178440622,11399999488.0,0.03720000013709068
44,491887,213.775,-1.55686,0.1231159752777807,31960000512.0,0.03750000149011612
45,497052,213.95732,-1.13611,0.08505062952722404,39750000640.0,0.14839999377727509
46,463634,213.91349,-1.2303,0.006874793995509342,79179997184.0,0.12780000269412994
47,514022,214.04671,-1.26845,0.12070321940616335,6942000128.0,0.050200000405311584
48,491933,213.94101,-1.42622,0.23618742325629974,34410000384.0,0.1080000028014183
49,491931,214.0511,-1.46952,0.10197575673869602,136700002304.0,0.1225999966263771
50,463601,213.79297,-1.24519,0.22162587407651252,80250003456.0,0.14810000360012054
51,485053,213.89165,-1.95551,0.0014246918436824334,37340000256.0,0.08020000159740448
52,485152,214.22172,-1.78112,0.13941354765783473,2820000000.0,0.05429999902844429
53,507715,214.28275,-1.75922,0.07514923871093315,16679999488.0,0.0771000012755394
54,511436,214.18711,-1.61367,0.08055028688598427,152899993600.0,0.12559999525547028
55,511427,214.14482,-1.57542,0.02504123616516665,57890000896.0,0.12039999663829803
56,497050,214.0008,-1.10422,0.062045692755659396,65670000640.0,0.13979999721050262
57,514025,214.06969,-1.23486,0.002654570870107185,146099994624.0,0.12449999898672104
58,463641,213.95529,-1.31607,0.10006199018192208,9189000192.0,0.049800001084804535
59,497049,213.95763,-1.0952,0.011249915943072012,100399996928.0,0.13770000636577606
60,463598,213.7631,-1.32367,0.008603908269089482,39539998720.0,0.1225999966263771
61,460767,213.79607,-1.63524,0.10265595430866722,9600000000.0,0.04769999906420708
62,511457,214.29126,-1.16416,0.06811308531478692,14490000384.0,0.1274999976158142
63,511455,214.23165,-1.17675,0.09048352276947708,86289997824.0,0.13770000636577606
64,511459,214.31602,-1.28295,0.1708083787411102,60180000768.0,0.13770000636577606
65,507721,214.31789,-1.58923,0.11025085649653782,251700002816.0,0.07720000296831131
66,514031,214.17251,-1.21444,0.06248617162180174,92959997952.0,0.12520000338554382
