319,511867
322,511865
487,485873
605,505441
896,164479
1106,165259
1264,70022
1867,171055
2065,170898
2401,184275
2485,84050
2524,7104
2539,136581
3071,271537
4403,40666
4670,55245
4996,560204
5098,70282
5278,144068
5698,185451
5772,124486
6339,289994
6503,32675
7579,491505
7622,543556
7874,106562
8137,593852
8254,593691
8555,568545
9151,460645
9359,93803
10842,93310
10908,49252
11076,136604
11791,371601
11901,600421
12159,574423
12243,600679
12397,324764
12588,218733
13660,320551
13836,342699
13946,363319
14556,522103
14626,418788
15275,202397
15421,422113
15448,422228
15695,573840
15953,521819
16190,196837
16625,372045
17522,197611
17719,216186
17886,3632594
19218,3578853
19268,3909064
19528,3593943
19718,656625
19828,3599976
19877,3610455
20685,287627
21533,39718
22038,272491
22095,70376
22567,536124
23097,40957
23801,272460
24326,164403
25257,171566
25334,132158
25359,586565
26107,238271
26697,511516
27118,568546
27307,492150
27886,16199
29489,299118
29622,229499
29880,570151
30903,594681
31404,567899
32341,543671
34352,267558
34920,267303
35124,363983
35165,342161
35418,250110
35697,342874
37678,771379
